#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
43.0602 5.79744e+08 1.37221e+07 4.76928e+08 3.51715e+08 1.57969e+08 1.31858e+09 2.64791e+07 1.25149e+09 6.99035e+08 5.58931e+08 501
63.1749 4.57282e+08 3.18063e+07 3.43845e+08 2.41785e+08 2.68768e+07 1.18511e+09 7.90934e+07 9.3351e+08 1.09308e+09 4.02633e+08 86
83.2023 4.58575e+08 7.16409e+06 3.99279e+08 2.36546e+08 8.03197e+07 8.99916e+08 1.66854e+07 7.73094e+08 5.57248e+08 2.42217e+08 584
101.802 4.91896e+08 4.50223e+06 4.02633e+08 2.96402e+08 8.36737e+07 9.60876e+08 9.66564e+06 8.53413e+08 5.55505e+08 3.22537e+08 2163
126.586 5.699e+08 4.34131e+06 4.79814e+08 3.21931e+08 1.5991e+08 1.02265e+09 8.11259e+06 8.53413e+08 7.11799e+08 3.22537e+08 4033
157.911 6.72528e+08 5.32731e+06 5.58931e+08 4.61774e+08 2.35583e+08 1.08224e+09 8.22397e+06 9.3351e+08 7.09403e+08 4.02633e+08 4490
196.348 7.96244e+08 8.71357e+06 6.92559e+08 5.51569e+08 3.05652e+08 1.11122e+09 1.17921e+07 9.3351e+08 7.86793e+08 4.02633e+08 2601
245.437 9.54849e+08 1.79215e+07 8.36178e+08 6.85919e+08 4.3251e+08 1.03235e+09 1.8338e+07 8.53413e+08 7.11799e+08 3.22537e+08 962
307.197 1.08855e+09 4.13452e+07 9.59173e+08 8.38202e+08 4.79359e+08 9.17904e+08 3.34664e+07 7.73094e+08 5.57248e+08 3.23348e+08 215
390.275 1.20166e+09 1.06688e+08 1.08023e+09 6.80725e+08 4.68418e+08 7.44618e+08 5.31474e+07 6.35825e+08 4.57173e+08 1.86079e+08 42
488.681 7.98152e+08 1.38358e+08 1.01337e+09 1.43705e+07 5.63628e+08 6.85609e+08 1.73524e+08 6.92559e+08 4.79814e+08 2.88891e+08 4
796.16 6.92559e+08 6.92559e+08 6.92559e+08 0 0 4.79814e+08 4.79814e+08 4.79814e+08 0 0 1
