#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.10723e+09 0.000126133 5.35373e-06 844642 13999.9 0 0 0 0.417498 4.90263e-05 0.422527 0.102037 0.112232 0.541725 3.47703e-05 0.552099 0.0588014 0.07377 0.639145 1.16866e-05 0.645432 0.0130213 0.0243551 4400105
1.56471e+10 4.82791e-05 5.26755e-06 702829 17627.6 0 0 0 0.34094 7.42391e-05 0.34003 0.10004 0.107543 0.51104 5.5727e-05 0.520987 0.0579104 0.0752935 0.633634 1.75251e-05 0.639017 0.0144681 0.0249553 1739885
2.47015e+10 5.43789e-05 6.79719e-06 778293 22211.8 0 0 0 0.305985 8.52371e-05 0.301817 0.0987429 0.0958981 0.503189 6.65606e-05 0.512543 0.0583937 0.0755874 0.63374 1.97686e-05 0.638501 0.0142682 0.0237132 1176926
3.9097e+10 0.00010047 1.13754e-05 1.4655e+06 38063.3 0 0 0 0.290881 9.9059e-05 0.285054 0.0958689 0.0872426 0.511099 7.27798e-05 0.518384 0.0534423 0.0667298 0.636087 2.12297e-05 0.640023 0.012955 0.0208151 776352
6.19994e+10 0.00023119 2.12803e-05 3.69778e+06 76781.5 0 0 0 0.293002 0.000116248 0.28823 0.0889722 0.0825263 0.520777 7.66662e-05 0.525015 0.0485383 0.0565658 0.63745 2.39498e-05 0.640826 0.0121812 0.0188657 510403
9.83541e+10 0.000550055 4.06501e-05 9.09871e+06 149767 0 0 0 0.308532 0.00013768 0.305628 0.0815628 0.079075 0.527809 8.61308e-05 0.530366 0.0462342 0.0511038 0.63823 2.90137e-05 0.64152 0.0117986 0.0181971 332694
1.55903e+11 0.00115866 7.33845e-05 2.28656e+07 306065 0 0 0 0.333484 0.000163189 0.331513 0.0756016 0.0739003 0.536321 0.000101402 0.538411 0.0442765 0.0483418 0.639352 3.66343e-05 0.64288 0.0113311 0.018066 214904
2.46894e+11 0.00198446 0.000119549 5.36824e+07 604886 0 0 0 0.362585 0.000193883 0.360619 0.0715522 0.068465 0.546234 0.000120332 0.548519 0.0416658 0.0460357 0.640036 4.80409e-05 0.644064 0.0109802 0.0183988 138577
3.90518e+11 0.00405143 0.000215812 1.10134e+08 1.10571e+06 0 0 0 0.388769 0.000232829 0.387123 0.0683448 0.0652905 0.548728 0.000149589 0.550206 0.0427072 0.0442078 0.637336 7.10228e-05 0.642336 0.0123701 0.0215359 86636
6.179e+11 0.00690725 0.000360295 2.13809e+08 2.02835e+06 0 5.77324e+08 0 0.395899 0.000284679 0.394523 0.0652034 0.0623847 0.534425 0.000210996 0.53517 0.0487275 0.0487308 0.628115 0.000122879 0.635247 0.0168163 0.0303649 52843
9.77216e+11 0.0133517 0.000658208 3.66198e+08 3.53956e+06 0 9.14734e+08 0 0.381472 0.000364418 0.380369 0.0626572 0.0606742 0.507075 0.000315619 0.5065 0.0573977 0.0543736 0.612934 0.000222982 0.623658 0.0234386 0.0470406 30408
1.55015e+12 0.0206537 0.00110045 5.65795e+08 6.02364e+06 0 1.29157e+09 0 0.356828 0.000480227 0.35613 0.0599707 0.0591362 0.474801 0.000462294 0.472062 0.0640019 0.0575803 0.594703 0.000393848 0.608627 0.0330028 0.0659072 16704
2.4411e+12 0.0322434 0.0018823 7.84583e+08 9.75078e+06 5.40609e+08 1.12265e+09 5.40609e+08 0.329314 0.00064516 0.329073 0.0594238 0.060174 0.441505 0.000681519 0.437143 0.0696569 0.0591058 0.576838 0.000668168 0.593835 0.0436664 0.0853353 8808
3.871e+12 0.0529426 0.00344287 9.66005e+08 1.58856e+07 7.07395e+08 1.2829e+09 7.07395e+08 0.302215 0.000890511 0.299828 0.060526 0.0563862 0.410192 0.00103423 0.404007 0.0747131 0.0598516 0.560659 0.00114936 0.578718 0.0559109 0.10116 4231
6.14693e+12 0.0913811 0.00656755 1.17496e+09 2.55164e+07 9.16383e+08 1.4106e+09 9.16383e+08 0.276808 0.0012666 0.2725 0.0594768 0.0513925 0.38198 0.00156361 0.37574 0.0722617 0.061247 0.540369 0.00193367 0.550972 0.081028 0.0997166 1926
9.6461e+12 0.12079 0.0111125 1.26604e+09 3.91344e+07 1.0412e+09 1.41384e+09 1.0412e+09 0.257644 0.00179471 0.251786 0.0566237 0.0469702 0.360178 0.00229767 0.355263 0.0677059 0.0594243 0.520191 0.00304389 0.524783 0.0993949 0.104904 861
1.53095e+13 0.171795 0.0191249 1.26825e+09 5.52703e+07 1.08428e+09 1.37076e+09 1.08428e+09 0.236756 0.00243718 0.23531 0.0454473 0.0459839 0.337869 0.00347621 0.330623 0.0686709 0.0613043 0.493392 0.00473022 0.488422 0.118968 0.0882599 390
