#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 10.75 - 11.25
#HM    Stats: 4.288240e+12 (median) + 8.036760e+12  / - 2.475000e+12
#SM    Stats: 8.270060e+10 (median) + 4.084540e+10  / - 2.467210e+10
#ObsSM Stats: 8.537030e+10 (median) + 4.282171e+10  / - 2.188390e+10
#VMP   Stats: 2.756900e+02 (median) + 1.072400e+02  / - 6.068001e+01
#ICL   Stats: 1.264800e+09 (median) + 8.654250e+09  / - 1.029130e+09
#SSFR  Stats: 1.859259e-12 (median) + 2.654153e-12  / - 1.149019e-12
sfh 0.055623 0 0 0 #avg: 8.48133e-07; avg_err: 6.95785e-07; sd: 0.000112599; counts: 26190
sfh 0.060123 0 0 0 #avg: 0.000425213; avg_err: 4.09158e-05; sd: 0.0066214; counts: 26190
sfh 0.062373 0 0 0 #avg: 0.00276262; avg_err: 0.000172788; sd: 0.0279623; counts: 26190
sfh 0.064623 0 0 0 #avg: 0.00844339; avg_err: 0.000403641; sd: 0.0653213; counts: 26190
sfh 0.066873 0 0 0 #avg: 0.0211961; avg_err: 0.000813104; sd: 0.131585; counts: 26190
sfh 0.069123 0 0 0 #avg: 0.0451015; avg_err: 0.00149987; sd: 0.242724; counts: 26190
sfh 0.071373 0 0.0283762 0 #avg: 0.0764816; avg_err: 0.00215044; sd: 0.348005; counts: 26190
sfh 0.073623 0 0.0799573 0 #avg: 0.115404; avg_err: 0.00306477; sd: 0.495972; counts: 26190
sfh 0.075873 0 0.156581 0 #avg: 0.159673; avg_err: 0.00371881; sd: 0.601816; counts: 26190
sfh 0.078123 1.44313e-11 0.255763 1.44313e-11 #avg: 0.217468; avg_err: 0.00505241; sd: 0.817633; counts: 26190
sfh 0.080373 0.00996047 0.365504 0.00996047 #avg: 0.272508; avg_err: 0.00575094; sd: 0.930676; counts: 26190
sfh 0.082623 0.0295345 0.441573 0.0295345 #avg: 0.316692; avg_err: 0.00624122; sd: 1.01002; counts: 26190
