#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
43.9152 5.479e+08 5.49908e+06 4.63314e+08 3.11783e+08 1.48475e+08 1.31275e+09 1.12822e+07 1.25149e+09 6.99035e+08 5.58931e+08 2754
61.6417 4.5701e+08 1.43147e+07 3.94214e+08 1.91416e+08 7.9375e+07 1.2685e+09 4.43211e+07 1.093e+09 9.3359e+08 4.81181e+08 265
82.711 4.49283e+08 5.76028e+06 3.98077e+08 2.24551e+08 8.00962e+07 9.02928e+08 1.38647e+07 7.73094e+08 5.57248e+08 2.42217e+08 889
102.087 4.83269e+08 3.51114e+06 4.01557e+08 2.41695e+08 8.35762e+07 9.67834e+08 7.78816e+06 8.53413e+08 5.55505e+08 3.22537e+08 3431
127.099 5.47061e+08 3.02873e+06 4.75409e+08 3.11385e+08 1.55505e+08 1.02155e+09 5.89483e+06 8.53413e+08 7.11799e+08 3.22537e+08 7305
158.573 6.22943e+08 3.20922e+06 5.41607e+08 3.91902e+08 2.19915e+08 1.06809e+09 5.38365e+06 9.3351e+08 7.09403e+08 4.02633e+08 9993
197.892 7.20251e+08 4.38763e+06 6.20184e+08 4.76928e+08 2.54994e+08 1.08451e+09 6.25578e+06 9.3351e+08 7.09403e+08 4.02633e+08 8102
246.218 8.30668e+08 7.51975e+06 7.11799e+08 5.62231e+08 3.18959e+08 1.04951e+09 8.95154e+06 9.3351e+08 7.09403e+08 4.02633e+08 3914
308.678 9.17237e+08 1.58273e+07 7.86794e+08 6.27977e+08 3.86355e+08 9.52859e+08 1.44077e+07 8.53413e+08 5.55505e+08 3.22537e+08 1150
386.393 9.82409e+08 3.55927e+07 8.01745e+08 7.61491e+08 3.27907e+08 8.7477e+08 2.94019e+07 7.1636e+08 5.35131e+08 2.66614e+08 248
485.388 7.98705e+08 6.39052e+07 7.04377e+08 4.04109e+08 2.54631e+08 8.44145e+08 6.35951e+07 7.73094e+08 4.78397e+08 2.99256e+08 37
607.874 1.09188e+09 1.77815e+08 1.01702e+09 7.72558e+08 6.20184e+08 7.10405e+08 9.43149e+07 6.11817e+08 4.81181e+08 2.93836e+08 11
834.853 8.43145e+08 2.2865e+08 9.53396e+08 2.18977e+08 5.49728e+08 7.13932e+08 1.89032e+08 6.11817e+08 4.68418e+08 1.62071e+08 3
985.47 4.83764e+08 4.83764e+08 4.83764e+08 0 0 4.49746e+08 4.49746e+08 4.49746e+08 0 0 1
