#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
45.124 5.89398e+08 1.36682e+07 4.20052e+08 3.8998e+08 8.86589e+07 2.44377e+09 4.50017e+07 2.37244e+09 1.77921e+09 1.58161e+09 1014
64.3481 5.34712e+08 6.62715e+06 4.17294e+08 3.33399e+08 8.37324e+07 1.25561e+09 1.97516e+07 1.0412e+09 8.33673e+08 4.17209e+08 1493
82.2273 6.1865e+08 4.20906e+06 5.00671e+08 4.15235e+08 1.67007e+08 1.36014e+09 1.03253e+07 1.12466e+09 9.99364e+08 5.00674e+08 6071
100.669 7.08546e+08 3.6224e+06 5.83762e+08 4.97108e+08 2.50018e+08 1.49799e+09 8.1182e+06 1.29157e+09 1.16347e+09 6.67579e+08 12798
125.46 8.26809e+08 4.53343e+06 6.6642e+08 6.25147e+08 2.79513e+08 1.65468e+09 8.97853e+06 1.375e+09 1.40925e+09 7.51009e+08 13267
156.731 9.99726e+08 6.94656e+06 8.18569e+08 7.95552e+08 4.0332e+08 1.74451e+09 1.17006e+07 1.4584e+09 1.48962e+09 8.34415e+08 9040
195.504 1.26565e+09 1.35625e+07 1.00114e+09 1.15768e+09 5.22743e+08 1.6959e+09 1.7648e+07 1.375e+09 1.55795e+09 7.51009e+08 4097
244.537 1.63707e+09 3.08518e+07 1.3918e+09 1.41218e+09 8.07868e+08 1.50517e+09 2.97196e+07 1.20812e+09 1.24692e+09 6.24817e+08 1208
306.893 2.17767e+09 7.91367e+07 2.04105e+09 1.7146e+09 1.33365e+09 1.22945e+09 4.84788e+07 9.76248e+08 9.81739e+08 4.75783e+08 289
385.675 2.58048e+09 1.9961e+08 2.59397e+09 1.60044e+09 1.7197e+09 9.59564e+08 8.59042e+07 7.90825e+08 6.20952e+08 3.33561e+08 56
473.481 3.62607e+09 5.28926e+08 3.13212e+09 2.9425e+09 1.59034e+09 5.74664e+08 4.62075e+07 5.01501e+08 2.89324e+08 4.42372e+07 10
662.31 4.32117e+09 4.32117e+09 4.32117e+09 0 0 1.54178e+09 1.54178e+09 1.54178e+09 0 0 1
