#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.01329e+07 7.51054e+08 2.75875e+06 5.80006e+08 5.81931e+08 2.2836e+08 2.12156e+09 7.84664e+06 1.74201e+09 1.90202e+09 1.02505e+09 35119
1.59018e+08 8.15958e+08 4.25629e+06 6.02658e+08 6.77658e+08 2.48657e+08 2.23211e+09 1.092e+07 1.85802e+09 1.90783e+09 1.05774e+09 19641
2.5246e+08 8.61497e+08 4.19425e+06 6.67038e+08 7.02165e+08 3.09647e+08 2.32054e+09 1.05308e+07 1.85802e+09 2.15234e+09 1.02889e+09 22673
3.98063e+08 8.99465e+08 4.42503e+06 6.79528e+08 7.51738e+08 3.21047e+08 2.39813e+09 1.06485e+07 1.97444e+09 2.15859e+09 1.14531e+09 24321
6.2979e+08 9.30264e+08 4.54861e+06 6.99664e+08 7.91843e+08 3.38046e+08 2.47079e+09 1.09349e+07 1.97444e+09 2.28152e+09 1.14531e+09 24335
9.96809e+08 9.51099e+08 4.90349e+06 7.0445e+08 8.29034e+08 3.42832e+08 2.54603e+09 1.16213e+07 2.09125e+09 2.2879e+09 1.26213e+09 23011
1.58346e+09 1.00243e+09 5.39674e+06 7.20099e+08 9.12011e+08 3.55577e+08 2.6143e+09 1.2328e+07 2.09125e+09 2.52792e+09 1.26213e+09 21971
2.50672e+09 1.02364e+09 5.64497e+06 7.33444e+08 9.25872e+08 3.66267e+08 2.66672e+09 1.28449e+07 2.20847e+09 2.41775e+09 1.37934e+09 21088
3.97118e+09 1.07733e+09 6.11042e+06 7.97294e+08 9.54314e+08 4.27747e+08 2.69188e+09 1.34683e+07 2.20847e+09 2.54162e+09 1.37934e+09 20147
6.28852e+09 1.12112e+09 6.69117e+06 8.1198e+08 1.04012e+09 4.39801e+08 2.7195e+09 1.39669e+07 2.20847e+09 2.66568e+09 1.37934e+09 19274
9.97105e+09 1.19958e+09 7.39325e+06 8.46138e+08 1.14551e+09 4.2963e+08 2.73406e+09 1.44069e+07 2.20847e+09 2.66568e+09 1.37934e+09 18662
1.57924e+10 1.29615e+09 8.26105e+06 9.26315e+08 1.26097e+09 4.76769e+08 2.70631e+09 1.48998e+07 2.1122e+09 2.76196e+09 1.28307e+09 17558
2.49545e+10 1.39603e+09 9.39586e+06 9.96637e+08 1.37272e+09 5.3678e+08 2.61412e+09 1.53924e+07 2.00484e+09 2.62138e+09 1.17571e+09 15874
3.94244e+10 1.53713e+09 1.15812e+07 1.08462e+09 1.5966e+09 6.11863e+08 2.48844e+09 1.67643e+07 1.95015e+09 2.42901e+09 1.14987e+09 12727
6.16849e+10 1.74565e+09 1.59624e+07 1.25278e+09 1.80605e+09 7.5287e+08 2.28211e+09 1.92571e+07 1.74201e+09 2.26835e+09 1.02505e+09 8456
9.64228e+10 1.86359e+09 2.39227e+07 1.36408e+09 1.98703e+09 7.96714e+08 2.13241e+09 2.61529e+07 1.62642e+09 2.01761e+09 9.0946e+08 4066
1.52027e+11 2.17788e+09 4.56214e+07 1.63771e+09 2.25026e+09 1.02577e+09 1.86597e+09 4.09281e+07 1.39649e+09 1.76342e+09 7.91253e+08 1330
2.37834e+11 2.40601e+09 9.39956e+07 1.97444e+09 2.40471e+09 1.25748e+09 1.49474e+09 6.59698e+07 1.20338e+09 1.08452e+09 7.09436e+08 324
3.7988e+11 2.59414e+09 1.7801e+08 2.56247e+09 1.65251e+09 1.73334e+09 1.30674e+09 1.10161e+08 9.41735e+08 1.38435e+09 4.47792e+08 73
6.02395e+11 3.18529e+09 4.64027e+08 3.39402e+09 1.33643e+09 2.31878e+09 1.10039e+09 2.0591e+08 8.94619e+08 8.4739e+08 4.00677e+08 10
1.10553e+12 1.58392e+09 7.54794e+08 2.33871e+09 0 1.50959e+09 6.4043e+08 3.01304e+08 9.41735e+08 0 6.02609e+08 2
