#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#mpeak range: 10.25 - 10.75
#HM    Stats: 3.942650e+10 (median) + 1.161760e+10  / - 1.322060e+10
#SM    Stats: 5.375530e+07 (median) + 1.153717e+08  / - 3.921690e+07
#ObsSM Stats: 5.197440e+07 (median) + 1.186986e+08  / - 3.812970e+07
#VMP   Stats: 8.219000e+01 (median) + 1.431000e+01  / - 1.402000e+01
#ICL   Stats: 2.218220e+04 (median) + 1.891328e+06  / - 2.218220e+04
#SSFR  Stats: 2.528957e-12 (median) + 3.900830e-12  / - 1.513887e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4803
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4803
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4803
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4803
sfh 0.066873 0 0 0 #avg: 1.08813e-14; avg_err: 7.89393e-15; sd: 5.47022e-13; counts: 4803
sfh 0.069123 0 0 0 #avg: 6.74239e-14; avg_err: 4.89602e-14; sd: 3.39277e-12; counts: 4803
sfh 0.071373 0 0 0 #avg: 4.84314e-13; avg_err: 2.46603e-13; sd: 1.70887e-11; counts: 4803
sfh 0.073623 0 0 0 #avg: 1.04579e-12; avg_err: 3.58227e-13; sd: 2.48239e-11; counts: 4803
sfh 0.075873 0 0 0 #avg: 1.41564e-12; avg_err: 3.64939e-13; sd: 2.5289e-11; counts: 4803
sfh 0.078123 0 0 0 #avg: 2.7103e-12; avg_err: 6.77983e-13; sd: 4.69818e-11; counts: 4803
sfh 0.080373 0 0 0 #avg: 4.33051e-12; avg_err: 9.02363e-13; sd: 6.25306e-11; counts: 4803
sfh 0.082623 0 0 0 #avg: 6.26717e-12; avg_err: 1.15566e-12; sd: 8.00834e-11; counts: 4803
sfh 0.085998 0 0 0 #avg: 1.13138e-11; avg_err: 1.38057e-12; sd: 9.56683e-11; counts: 4803
sfh 0.089373 0 0 0 #avg: 1.9075e-11; avg_err: 2.12653e-12; sd: 1.47361e-10; counts: 4803
sfh 0.092748 0 0 0 #avg: 2.61033e-11; avg_err: 2.11524e-12; sd: 1.46578e-10; counts: 4803
sfh 0.096123 0 0 0 #avg: 3.85244e-11; avg_err: 2.71686e-12; sd: 1.88269e-10; counts: 4803
sfh 0.099498 0 9.74483e-13 0 #avg: 5.52381e-11; avg_err: 3.66079e-12; sd: 2.5368e-10; counts: 4803
sfh 0.102873 0 4.53972e-11 0 #avg: 7.4682e-11; avg_err: 4.55412e-12; sd: 3.15584e-10; counts: 4803
sfh 0.106248 0 1.0769e-10 0 #avg: 9.7018e-11; avg_err: 4.95817e-12; sd: 3.43583e-10; counts: 4803
sfh 0.109623 0 1.63632e-10 0 #avg: 1.23173e-10; avg_err: 5.50456e-12; sd: 3.81446e-10; counts: 4803
sfh 0.112998 0 2.27754e-10 0 #avg: 1.44001e-10; avg_err: 6.09208e-12; sd: 4.2216e-10; counts: 4803
sfh 0.116373 0 2.81572e-10 0 #avg: 1.65738e-10; avg_err: 6.68531e-12; sd: 4.63268e-10; counts: 4803
sfh 0.119748 0 3.41149e-10 0 #avg: 1.82612e-10; avg_err: 6.42401e-12; sd: 4.45161e-10; counts: 4803
sfh 0.123123 2.56039e-16 3.73485e-10 2.56039e-16 #avg: 2.05098e-10; avg_err: 6.99251e-12; sd: 4.84556e-10; counts: 4803
sfh 0.126498 1.63315e-11 4.09819e-10 1.63315e-11 #avg: 2.20653e-10; avg_err: 6.88994e-12; sd: 4.77449e-10; counts: 4803
sfh 0.129873 3.47483e-11 4.25543e-10 3.47483e-11 #avg: 2.43076e-10; avg_err: 7.61617e-12; sd: 5.27773e-10; counts: 4803
sfh 0.133248 5.50439e-11 4.47265e-10 5.50439e-11 #avg: 2.59978e-10; avg_err: 7.24426e-12; sd: 5.02002e-10; counts: 4803
sfh 0.136623 7.54732e-11 4.77705e-10 7.54732e-11 #avg: 2.8134e-10; avg_err: 7.95971e-12; sd: 5.5158e-10; counts: 4803
sfh 0.141685 9.90101e-11 4.86724e-10 9.90101e-11 #avg: 2.97758e-10; avg_err: 7.48639e-12; sd: 5.1878e-10; counts: 4803
sfh 0.146748 1.33304e-10 4.87564e-10 1.33304e-10 #avg: 3.21406e-10; avg_err: 7.79549e-12; sd: 5.402e-10; counts: 4803
sfh 0.15181 1.59595e-10 4.9487e-10 1.59595e-10 #avg: 3.45731e-10; avg_err: 7.6785e-12; sd: 5.32093e-10; counts: 4803
sfh 0.156873 1.83129e-10 5.14117e-10 1.83129e-10 #avg: 3.67964e-10; avg_err: 8.23509e-12; sd: 5.70663e-10; counts: 4803
sfh 0.161935 2.06544e-10 4.87898e-10 2.0237e-10 #avg: 3.84732e-10; avg_err: 8.19063e-12; sd: 5.67582e-10; counts: 4803
sfh 0.166998 2.27516e-10 5.00916e-10 2.12751e-10 #avg: 4.01536e-10; avg_err: 9.02932e-12; sd: 6.257e-10; counts: 4803
sfh 0.17206 2.40724e-10 4.85695e-10 2.13862e-10 #avg: 4.03083e-10; avg_err: 8.00061e-12; sd: 5.54414e-10; counts: 4803
sfh 0.177123 2.51679e-10 4.79611e-10 2.13538e-10 #avg: 4.00494e-10; avg_err: 7.44898e-12; sd: 5.16188e-10; counts: 4803
sfh 0.182185 2.49422e-10 4.57744e-10 2.03062e-10 #avg: 4.04226e-10; avg_err: 7.69864e-12; sd: 5.33488e-10; counts: 4803
sfh 0.187248 2.57808e-10 4.54526e-10 2.05695e-10 #avg: 3.97088e-10; avg_err: 7.00876e-12; sd: 4.85682e-10; counts: 4803
sfh 0.19231 2.54965e-10 4.30157e-10 1.93416e-10 #avg: 3.87627e-10; avg_err: 6.46441e-12; sd: 4.47961e-10; counts: 4803
sfh 0.197373 2.62774e-10 4.04352e-10 1.9441e-10 #avg: 3.91504e-10; avg_err: 6.99437e-12; sd: 4.84685e-10; counts: 4803
