#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.7239e+07 0.00828863 0.00850409 0.000113317 0 0 0 0.00184249 1.47193e-05 0 0 0 691550
1.5741e+08 0.0162502 0.0167777 0.000258195 0 0 0 0.00342997 3.31624e-05 0 0 0 263505
2.49059e+08 0.0229734 0.0238996 0.000341855 0 0 0 0.00474632 4.41308e-05 0 0 0 215945
3.94387e+08 0.0325414 0.0340766 0.000457332 0 0 0 0.00666203 6.08927e-05 0 0 0 172611
6.25329e+08 0.04444 0.0469372 0.000605862 0 0 0 0.00899205 8.21607e-05 0 0.0103037 0 135756
9.91884e+08 0.0590967 0.0631313 0.000794664 0 0 0 0.0119054 0.000108469 0 0.0190663 0 106825
1.57143e+09 0.0793828 0.0851987 0.00102725 0 0 0 0.0156761 0.000142881 0 0.0299864 0 85283
2.49198e+09 0.102785 0.111946 0.00130979 0 0 0 0.020085 0.000182499 0 0.040919 0 69203
3.9554e+09 0.13037 0.142447 0.00159876 0 0 0 0.0258323 0.000234126 0 0.0520358 0 57797
6.2668e+09 0.166898 0.186645 0.00198808 0 1 0 0.0334412 0.000294881 0 0.0725476 0 48970
9.94212e+09 0.206369 0.235152 0.00239298 0 1 0 0.0420078 0.000357185 0 0.0939727 0 42109
1.57437e+10 0.252053 0.291196 0.00283515 0 1 0 0.0531111 0.000439157 0.0102898 0.111586 0.0102898 36175
2.48618e+10 0.295122 0.347 0.0033866 0 1 0 0.064313 0.000537949 0.0205897 0.124062 0.0205897 29415
3.92371e+10 0.340337 0.401388 0.0041393 0 1 0 0.0775545 0.000684938 0.0384074 0.133681 0.0384074 21752
6.16006e+10 0.372618 0.441567 0.00547881 0 1 0 0.089554 0.000938748 0.0502441 0.143348 0.0502441 13169
9.61288e+10 0.404701 0.480185 0.0084069 0 1 0 0.101054 0.00147335 0.0612936 0.152726 0.0612936 5829
1.49946e+11 0.427887 0.491323 0.0151869 0 1 0 0.119383 0.00297241 0.0886566 0.156803 0.0886566 1671
2.32019e+11 0.436202 0.52819 0.0366363 0 1 0 0.131681 0.00684509 0.0961852 0.183281 0.0961852 337
3.74807e+11 0.486486 0.594595 0.112703 0 1 0 0.166824 0.0173488 0.149109 0.126343 0.10851 37
6.01945e+11 0.75 0.75 0.25 1 0 1 0.192855 0.0599229 0.249977 0.0844736 0.16049 4
8.50007e+11 0 0 0 0 0 0 0.233513 0.00487044 0.238383 0 0.00974087 2
