#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.74416e+07 0.0715801 0.0799597 0.000682512 0 0 0 0.00855519 6.52278e-05 0 0.00910202 0 196549
1.57416e+08 0.11387 0.132615 0.00144831 0 0 0 0.0146539 0.000149265 0 0.0255242 0 74901
2.50148e+08 0.169712 0.204072 0.00191594 0 1 0 0.0222734 0.000195244 0 0.0454868 0 65281
3.95644e+08 0.208168 0.253162 0.00222294 0 1 0 0.0278127 0.000233229 0 0.0607512 0 58741
6.25503e+08 0.244082 0.304586 0.00269192 0 1 0 0.0335072 0.000283469 0 0.075003 0 48410
9.88902e+08 0.285325 0.365832 0.00338298 0 1 0 0.0407999 0.000365761 0.00831447 0.0835202 0.00831447 36730
1.56826e+09 0.335088 0.438212 0.00420497 0 1 0 0.0502643 0.000472585 0.0124831 0.102713 0.0124831 27918
2.48447e+09 0.386714 0.521782 0.00521771 0 1 0 0.0598235 0.000590966 0.0188538 0.116011 0.0188538 21256
3.95159e+09 0.441233 0.612807 0.0062964 0 1 0 0.0724622 0.00074853 0.0321531 0.127889 0.0321531 16506
6.24123e+09 0.492134 0.716113 0.0076722 0 2 0 0.0865831 0.000945498 0.0441485 0.142537 0.0441485 12903
9.91855e+09 0.550489 0.817787 0.00902856 1 1 1 0.103034 0.00116622 0.061915 0.151824 0.061915 10131
1.56435e+10 0.616552 0.955636 0.010859 1 1 1 0.125463 0.00147075 0.0847763 0.173135 0.0785359 7709
2.47562e+10 0.676398 1.08811 0.0131322 1 1 1 0.150737 0.00187391 0.112388 0.187896 0.0999177 5652
3.9136e+10 0.726104 1.22806 0.0171536 1 1 1 0.177371 0.00250185 0.146228 0.190817 0.122316 3578
6.13823e+10 0.75 1.24123 0.0219492 1 1 1 0.208342 0.00352534 0.183249 0.199395 0.146653 2052
9.52285e+10 0.798875 1.3038 0.0366583 1 1 1 0.244844 0.00622438 0.226413 0.189108 0.157888 711
1.49491e+11 0.78022 1.20879 0.0710011 1 1 1 0.286754 0.0119784 0.27873 0.189018 0.176121 182
2.38395e+11 0.736842 1.05263 0.13571 1 1 1 0.278537 0.0237868 0.259921 0.177058 0.121527 38
3.3077e+11 1 1 0 1 0 0 0.345966 0.00640953 0.352376 0 0.0128191 2
8.0596e+11 0 0 0 0 0 0 0.400722 0.400722 0.400722 0 0 1
