#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
45.1363 0.000383367 0.000389293 8.1244e-06 0 0 0 0.000114666 1.43492e-06 0 0 0 6075111
61.9824 0.00010455 0.00010455 7.44849e-06 0 0 0 6.55402e-05 1.46662e-06 0 0 0 1884266
78.3061 0.000412722 0.000412722 2.23129e-05 0 0 0 0.000263959 4.2583e-06 0 0 0 828644
98.5944 0.00383116 0.00384144 9.94264e-05 0 0 0 0.00165148 1.67801e-05 0 0 0 389177
124.107 0.0226656 0.0229196 0.000351769 0 0 0 0.00768145 5.87261e-05 0 0 0 185082
155.994 0.0908961 0.093375 0.00103358 0 0 0 0.0268808 0.000179027 0 0.0606555 0 83909
195.889 0.235195 0.248622 0.00249368 0 1 0 0.0707252 0.000476089 0.0320552 0.125529 0.0320552 34482
245.677 0.419475 0.462574 0.00534205 0 1 0 0.148637 0.00117692 0.123316 0.161642 0.109132 11810
308.326 0.544311 0.623867 0.0107731 1 0 1 0.254904 0.00270761 0.246204 0.182121 0.171587 3419
387.539 0.548421 0.635789 0.0209577 1 0 1 0.362654 0.0055917 0.371169 0.17234 0.200169 950
488.47 0.446281 0.516529 0.0406629 0 1 0 0.485887 0.00993655 0.503137 0.130137 0.185175 242
613.376 0.291667 0.291667 0.0539427 0 1 0 0.568087 0.0173264 0.601152 0.120984 0.177846 72
785.619 0.346154 0.384615 0.112002 0 1 0 0.666643 0.0185283 0.67676 0.093207 0.09956 26
956.307 0.5 0.5 0.288675 1 0 1 0.704414 0.076637 0.779622 0.0540791 0.294071 4
