#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#obs_sm range: 8.25 - 8.75
#HM    Stats: 8.226470e+10 (median) + 4.444130e+10  / - 3.030880e+10
#SM    Stats: 3.189280e+08 (median) + 1.508390e+08  / - 1.067230e+08
#ObsSM Stats: 3.232990e+08 (median) + 1.485150e+08  / - 1.060230e+08
#VMP   Stats: 8.279000e+01 (median) + 7.040001e+00  / - 6.669998e+00
#ICL   Stats: 8.546580e+05 (median) + 4.818902e+06  / - 8.545286e+05
#SSFR  Stats: 1.676822e-12 (median) + 2.918343e-12  / - 1.132580e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 51137
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 51137
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 51137
sfh 0.064623 0 0 0 #avg: 4.47398e-15; avg_err: 4.47398e-15; sd: 1.01171e-12; counts: 51137
sfh 0.066873 0 0 0 #avg: 2.61775e-15; avg_err: 2.61775e-15; sd: 5.91959e-13; counts: 51137
sfh 0.069123 0 0 0 #avg: 5.03001e-15; avg_err: 3.78696e-15; sd: 8.56355e-13; counts: 51137
sfh 0.071373 0 0 0 #avg: 7.81267e-15; avg_err: 4.00113e-15; sd: 9.04786e-13; counts: 51137
sfh 0.073623 0 0 0 #avg: 2.49726e-14; avg_err: 9.99544e-15; sd: 2.2603e-12; counts: 51137
sfh 0.075873 0 0 0 #avg: 6.59805e-14; avg_err: 2.31619e-14; sd: 5.23766e-12; counts: 51137
sfh 0.078123 0 0 0 #avg: 1.42366e-13; avg_err: 5.28708e-14; sd: 1.19558e-11; counts: 51137
sfh 0.080373 0 0 0 #avg: 2.03552e-13; avg_err: 5.15382e-14; sd: 1.16545e-11; counts: 51137
sfh 0.082623 0 0 0 #avg: 2.63398e-13; avg_err: 3.94223e-14; sd: 8.91468e-12; counts: 51137
sfh 0.085998 0 0 0 #avg: 7.16524e-13; avg_err: 8.875e-14; sd: 2.00693e-11; counts: 51137
