#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
6.87816e+09 0 0 0 0 0 0 0.0683225 0.00699799 0.0473805 0.0924856 0.0336555 80
1.67015e+10 0 0 0 0 0 0 0.0308425 0.0101511 0.014204 0.0251681 0.00129128 16
2.64006e+10 0 0 0 0 0 0 0.0325878 0.0043699 0.0151844 0.0356317 0.00214851 68
4.06698e+10 0 0 0 0 0 0 0.0401926 0.00239519 0.0372261 0.0356686 0.0240624 222
6.50905e+10 0 0 0 0 0 0 0.0459349 0.00203675 0.0381099 0.0506333 0.0249461 455
1.01883e+11 0 0 0 0 0 0 0.0580072 0.00193047 0.0397688 0.0702787 0.026605 779
1.61447e+11 0.00631912 0.00631912 0.00222795 0 0 0 0.0729944 0.00191217 0.0461794 0.0913264 0.0330156 1266
2.53484e+11 0.00519331 0.00519331 0.0017271 0 0 0 0.0833754 0.00182857 0.0634274 0.0882604 0.0502636 1733
3.99834e+11 0.0134228 0.0134228 0.00261538 0 0 0 0.108029 0.00206612 0.0868151 0.104132 0.0727767 1937
6.28698e+11 0.0176611 0.0176611 0.0028784 0 0 0 0.136143 0.0023255 0.112399 0.133942 0.0749642 2095
9.9044e+11 0.0215664 0.0215664 0.00346158 0 0 0 0.163013 0.00282621 0.137342 0.146837 0.0986692 1762
1.56328e+12 0.0179886 0.0179886 0.00380208 0 0 0 0.180901 0.00357064 0.15744 0.149932 0.0974871 1223
2.45537e+12 0.0285714 0.0285714 0.0060077 0 0 0 0.21836 0.00490022 0.204083 0.158681 0.119992 770
3.90448e+12 0.0233051 0.0233051 0.00695175 0 0 0 0.242623 0.00615644 0.228165 0.156171 0.122535 472
6.04127e+12 0.0288462 0.0288462 0.0116333 0 0 0 0.253317 0.00869024 0.248663 0.129238 0.137391 208
9.67035e+12 0 0 0 0 0 0 0.26644 0.0132622 0.241875 0.191584 0.109533 97
1.46211e+13 0 0 0 0 0 0 0.296933 0.0267551 0.292729 0.183303 0.16075 30
2.58099e+13 0 0 0 0 0 0 0.339631 0.0369123 0.315199 0.18927 0.115229 12
3.33971e+13 0 0 0 0 0 0 0.291439 0.291439 0.291439 0 0 1
