#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM    Stats: 5.570590e+12 (median) + 3.330880e+12  / - 1.735300e+12
#SM    Stats: 6.450190e+10 (median) + 4.852510e+10  / - 3.144480e+10
#ObsSM Stats: 6.392990e+10 (median) + 5.669010e+10  / - 3.354480e+10
#VMP   Stats: 3.247400e+02 (median) + 5.015002e+01  / - 3.120999e+01
#ICL   Stats: 1.580660e+09 (median) + 4.849780e+09  / - 1.124142e+09
#SSFR  Stats: 2.129231e-12 (median) + 3.004231e-12  / - 1.320960e-12
sfh 0.055623 0 0 0 #avg: 1.26632e-06; avg_err: 1.26484e-06; sd: 0.000150415; counts: 14143
sfh 0.060123 0 0 0 #avg: 0.000524517; avg_err: 6.31344e-05; sd: 0.00750795; counts: 14143
sfh 0.062373 0 0 0 #avg: 0.00352104; avg_err: 0.000270715; sd: 0.0321935; counts: 14143
sfh 0.064623 0 0 0 #avg: 0.00994186; avg_err: 0.000538334; sd: 0.0640188; counts: 14143
sfh 0.066873 0 0 0 #avg: 0.0264733; avg_err: 0.00121793; sd: 0.144837; counts: 14143
sfh 0.069123 0 0.0137296 0 #avg: 0.0554339; avg_err: 0.0021565; sd: 0.256451; counts: 14143
sfh 0.071373 0 0.0615899 0 #avg: 0.0919648; avg_err: 0.00334992; sd: 0.398373; counts: 14143
sfh 0.073623 0 0.140798 0 #avg: 0.141654; avg_err: 0.0043156; sd: 0.513212; counts: 14143
sfh 0.075873 0.000131527 0.253827 0.000131527 #avg: 0.19943; avg_err: 0.00560044; sd: 0.666005; counts: 14143
sfh 0.078123 0.013632 0.360773 0.013632 #avg: 0.262668; avg_err: 0.00726481; sd: 0.863933; counts: 14143
sfh 0.080373 0.0409236 0.455428 0.0409236 #avg: 0.326302; avg_err: 0.00884793; sd: 1.0522; counts: 14143
sfh 0.082623 0.0792731 0.521404 0.0792731 #avg: 0.369383; avg_err: 0.00830019; sd: 0.98706; counts: 14143
