#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
39.6885 6.90657e+08 3.43249e+07 6.81088e+08 3.32286e+08 2.91126e+08 1.23729e+09 7.46859e+07 1.25149e+09 6.22628e+08 6.39673e+08 68
65.2655 1.58018e+09 9.73283e+08 2.55346e+09 0 1.94657e+09 1.2467e+09 4.73605e+08 1.7203e+09 0 9.47209e+08 2
81.2 5.57248e+08 5.57248e+08 5.57248e+08 0 0 7.73094e+08 7.73094e+08 7.73094e+08 0 0 1
104.617 5.81845e+08 4.68519e+07 5.60556e+08 2.41189e+08 2.38019e+08 7.46773e+08 5.49601e+07 6.92559e+08 3.20815e+08 1.61682e+08 19
127.577 5.27118e+08 2.43936e+07 4.79814e+08 2.92138e+08 1.58999e+08 9.39338e+08 5.61244e+07 8.53413e+08 6.33798e+08 4.03668e+08 72
160.459 6.83785e+08 2.35248e+07 5.63628e+08 4.64116e+08 1.78315e+08 1.01271e+09 3.59282e+07 8.53413e+08 7.11799e+08 3.22537e+08 215
201.193 8.24492e+08 2.44648e+07 6.92559e+08 5.58931e+08 2.50697e+08 1.11235e+09 3.06422e+07 9.59173e+08 8.38202e+08 4.28296e+08 364
250.539 1.01104e+09 2.79426e+07 8.6689e+08 6.98323e+08 4.07508e+08 1.06167e+09 2.90705e+07 9.3351e+08 7.09403e+08 4.02633e+08 424
312.009 1.1914e+09 3.7961e+07 1.0311e+09 7.67861e+08 4.67468e+08 1.00402e+09 4.01415e+07 7.94653e+08 8.4826e+08 3.44907e+08 261
391.361 1.32287e+09 5.84168e+07 1.17237e+09 9.54397e+08 5.60556e+08 9.81552e+08 4.46053e+07 7.92119e+08 8.50794e+08 3.18281e+08 154
485.145 1.66179e+09 1.49712e+08 1.42437e+09 1.54093e+09 8.80596e+08 7.81068e+08 6.40255e+07 6.33798e+08 6.24169e+08 2.8016e+08 48
605.1 2.16266e+09 3.4857e+08 2.56573e+09 4.96974e+08 1.54316e+09 9.99832e+08 2.6081e+08 7.65396e+08 3.27602e+08 7.28369e+07 8
776.176 2.38513e+09 4.52269e+08 2.83824e+09 8.86535e+08 2.14568e+09 6.33321e+08 1.15582e+08 5.30876e+08 3.22537e+08 1.79604e+08 8
927.35 2.5072e+09 2.5072e+09 2.5072e+09 0 0 1.40892e+09 1.40892e+09 1.40892e+09 0 0 1
