#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 8.529410e+12 (median) + 4.580889e+12  / - 2.225000e+12
#SM    Stats: 7.630920e+10 (median) + 5.419680e+10  / - 3.643740e+10
#ObsSM Stats: 7.410340e+10 (median) + 6.324260e+10  / - 3.828660e+10
#VMP   Stats: 3.699100e+02 (median) + 5.604999e+01  / - 3.897000e+01
#ICL   Stats: 2.943150e+09 (median) + 9.104750e+09  / - 2.058597e+09
#SSFR  Stats: 2.325970e-12 (median) + 3.824331e-12  / - 1.472288e-12
sfh 0.21256 17.4693 50.3748 13.0538 #avg: 38.4088; avg_err: 0.634712; sd: 61.6292; counts: 9429
sfh 0.217623 18.9017 53.7157 14.2538 #avg: 40.5958; avg_err: 0.637428; sd: 61.8929; counts: 9429
sfh 0.222685 20.3903 55.9237 15.6123 #avg: 42.5283; avg_err: 0.650781; sd: 63.1894; counts: 9429
sfh 0.227748 21.8851 59.9625 16.8971 #avg: 44.5599; avg_err: 0.660274; sd: 64.1112; counts: 9429
sfh 0.23281 22.8964 62.9306 17.9544 #avg: 46.458; avg_err: 0.664786; sd: 64.5494; counts: 9429
sfh 0.237873 23.3355 67.6004 18.384 #avg: 48.5368; avg_err: 0.704187; sd: 68.3751; counts: 9429
sfh 0.242935 24.0357 71.8967 19.0558 #avg: 51.2148; avg_err: 0.752143; sd: 73.0315; counts: 9429
sfh 0.247998 25.9471 73.9155 20.9704 #avg: 52.5984; avg_err: 0.76446; sd: 74.2275; counts: 9429
sfh 0.25306 26.3138 77.1882 21.5819 #avg: 53.5526; avg_err: 0.759213; sd: 73.7179; counts: 9429
sfh 0.258123 27.7773 77.4387 23.469 #avg: 54.6411; avg_err: 0.771763; sd: 74.9365; counts: 9429
sfh 0.263185 29.1192 76.7448 25.0405 #avg: 54.7644; avg_err: 0.741424; sd: 71.9907; counts: 9429
sfh 0.268248 29.6336 79.2484 25.8 #avg: 55.5965; avg_err: 0.743038; sd: 72.1474; counts: 9429
sfh 0.27331 30.8488 81.6932 27.4812 #avg: 57.0027; avg_err: 0.749486; sd: 72.7735; counts: 9429
sfh 0.278373 31.5023 79.9947 28.4131 #avg: 56.6719; avg_err: 0.753926; sd: 73.2046; counts: 9429
sfh 0.283435 31.1352 81.5768 28.4426 #avg: 56.4107; avg_err: 0.738103; sd: 71.6682; counts: 9429
sfh 0.288498 30.7077 79.3543 28.3204 #avg: 56.1994; avg_err: 0.755068; sd: 73.3155; counts: 9429
sfh 0.29356 30.0768 79.8722 27.9443 #avg: 55.0173; avg_err: 0.72861; sd: 70.7464; counts: 9429
sfh 0.298623 29.4639 78.8641 27.6226 #avg: 53.9961; avg_err: 0.715064; sd: 69.4312; counts: 9429
sfh 0.303685 28.8698 78.0382 27.2285 #avg: 52.8422; avg_err: 0.700359; sd: 68.0034; counts: 9429
sfh 0.308748 27.1873 77.0827 25.8144 #avg: 50.6816; avg_err: 0.673037; sd: 65.3504; counts: 9429
sfh 0.31381 26.3123 75.6407 25.1289 #avg: 49.7622; avg_err: 0.671526; sd: 65.2038; counts: 9429
sfh 0.318873 24.1858 74.2841 23.1956 #avg: 48.1197; avg_err: 0.670507; sd: 65.1048; counts: 9429
sfh 0.323935 22.1653 73.5637 21.2901 #avg: 45.8497; avg_err: 0.638362; sd: 61.9836; counts: 9429
sfh 0.328997 20.4621 70.8592 19.7164 #avg: 44.0202; avg_err: 0.6261; sd: 60.793; counts: 9429
sfh 0.33406 19.3644 66.5547 18.6767 #avg: 41.4698; avg_err: 0.593412; sd: 57.619; counts: 9429
sfh 0.339122 15.826 66.4226 15.2384 #avg: 38.6792; avg_err: 0.565271; sd: 54.8866; counts: 9429
sfh 0.344185 14.5398 63.1501 14.029 #avg: 36.5368; avg_err: 0.539733; sd: 52.4069; counts: 9429
sfh 0.349247 13.0492 59.41 12.6022 #avg: 34.3137; avg_err: 0.513208; sd: 49.8314; counts: 9429
sfh 0.35431 10.448 57.6461 10.0415 #avg: 31.8723; avg_err: 0.48109; sd: 46.7128; counts: 9429
sfh 0.359372 8.74437 55.8102 8.36995 #avg: 29.9862; avg_err: 0.464539; sd: 45.1057; counts: 9429
sfh 0.364435 7.88435 53.1861 7.55067 #avg: 27.8391; avg_err: 0.433055; sd: 42.0488; counts: 9429
sfh 0.369497 6.19162 51.3606 5.89659 #avg: 25.8804; avg_err: 0.409185; sd: 39.731; counts: 9429
sfh 0.37456 5.4526 47.4273 5.18448 #avg: 24.1102; avg_err: 0.385579; sd: 37.4389; counts: 9429
sfh 0.379622 4.41431 45.4373 4.1773 #avg: 22.1347; avg_err: 0.361262; sd: 35.0778; counts: 9429
sfh 0.384685 3.59237 40.8761 3.37625 #avg: 20.0702; avg_err: 0.331229; sd: 32.1616; counts: 9429
sfh 0.389747 2.84809 38.9113 2.65064 #avg: 18.6457; avg_err: 0.313936; sd: 30.4826; counts: 9429
sfh 0.39481 2.2211 36.4316 2.04581 #avg: 16.8905; avg_err: 0.29136; sd: 28.2904; counts: 9429
sfh 0.399872 1.91635 33.3047 1.75319 #avg: 15.5743; avg_err: 0.273922; sd: 26.5973; counts: 9429
sfh 0.404935 1.48427 30.5883 1.33587 #avg: 14.0965; avg_err: 0.25621; sd: 24.8774; counts: 9429
sfh 0.409997 1.22756 28.5261 1.09253 #avg: 12.8326; avg_err: 0.236589; sd: 22.9723; counts: 9429
sfh 0.41506 1.04501 26.3592 0.919899 #avg: 11.7522; avg_err: 0.220442; sd: 21.4044; counts: 9429
sfh 0.420122 0.894771 23.2508 0.778907 #avg: 10.6645; avg_err: 0.207178; sd: 20.1165; counts: 9429
sfh 0.425185 0.776243 21.5095 0.667755 #avg: 9.93012; avg_err: 0.198602; sd: 19.2839; counts: 9429
sfh 0.430247 0.662224 20.0912 0.562069 #avg: 9.15238; avg_err: 0.190147; sd: 18.4629; counts: 9429
sfh 0.43531 0.544351 18.1023 0.45288 #avg: 8.34307; avg_err: 0.176938; sd: 17.1803; counts: 9429
sfh 0.440372 0.474596 16.3503 0.389782 #avg: 7.59233; avg_err: 0.165401; sd: 16.0601; counts: 9429
sfh 0.445435 0.415557 14.5114 0.336381 #avg: 6.73805; avg_err: 0.152816; sd: 14.8381; counts: 9429
sfh 0.450497 0.352611 11.7562 0.279707 #avg: 5.88099; avg_err: 0.138351; sd: 13.4336; counts: 9429
sfh 0.45556 0.311906 9.30932 0.243637 #avg: 5.17298; avg_err: 0.129895; sd: 12.6125; counts: 9429
sfh 0.460622 0.274493 7.31684 0.210269 #avg: 4.47635; avg_err: 0.117946; sd: 11.4523; counts: 9429
sfh 0.465685 0.242155 5.86725 0.183286 #avg: 3.92472; avg_err: 0.107285; sd: 10.4171; counts: 9429
sfh 0.470747 0.218511 3.54677 0.162786 #avg: 3.30425; avg_err: 0.0943485; sd: 9.16104; counts: 9429
sfh 0.47581 0.197391 2.03191 0.147155 #avg: 2.77198; avg_err: 0.0819423; sd: 7.95642; counts: 9429
sfh 0.480872 0.174825 1.05638 0.127071 #avg: 2.22244; avg_err: 0.0707783; sd: 6.87243; counts: 9429
sfh 0.485935 0.158022 0.639881 0.113812 #avg: 1.68945; avg_err: 0.0570285; sd: 5.53734; counts: 9429
sfh 0.490997 0.137358 0.425759 0.0960206 #avg: 1.16309; avg_err: 0.0430262; sd: 4.17776; counts: 9429
sfh 0.49606 0.126652 0.3112 0.088477 #avg: 0.690937; avg_err: 0.0278679; sd: 2.70592; counts: 9429
sfh 0.501122 0.112245 0.211427 0.0777422 #avg: 0.184135; avg_err: 0.0022099; sd: 0.214577; counts: 9429
iclh 0.055623 0 0 0 #avg: 1.16967e-09; avg_err: 1.1683e-09; sd: 1.1344e-07; counts: 9429
iclh 0.060123 0 0 0 #avg: 0.00015183; avg_err: 3.19807e-05; sd: 0.00310526; counts: 9429
iclh 0.062373 0 0 0 #avg: 0.00101234; avg_err: 0.000140039; sd: 0.0135975; counts: 9429
iclh 0.064623 0 0 0 #avg: 0.00351252; avg_err: 0.000383456; sd: 0.0372328; counts: 9429
iclh 0.066873 0 0 0 #avg: 0.0082578; avg_err: 0.00068768; sd: 0.0667723; counts: 9429
iclh 0.069123 0 5.03137e-06 0 #avg: 0.0157466; avg_err: 0.0010276; sd: 0.0997782; counts: 9429
iclh 0.071373 0 0.00916473 0 #avg: 0.027342; avg_err: 0.00137399; sd: 0.133412; counts: 9429
