#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
3.05117e+08 3.41278e+08 3.41278e+08 3.41278e+08 0 0 5.36715e+08 5.36715e+08 5.36715e+08 0 0 1
1.00079e+09 4.03236e+08 4.25106e+07 4.01517e+08 7.61936e+07 7.10372e+07 6.50839e+08 9.99789e+07 6.74785e+08 1.36004e+08 2.07841e+08 3
1.76174e+09 3.91284e+08 4.37739e+07 3.60165e+08 1.17545e+08 2.41897e+07 5.97441e+08 6.56213e+07 6.50595e+08 2.41898e+07 1.83651e+08 3
2.41744e+09 3.95239e+08 2.33768e+07 4.01517e+08 9.53299e+06 6.55414e+07 6.31482e+08 3.18059e+07 6.74785e+08 0 1.38069e+08 8
4.12095e+09 5.88866e+08 5.72484e+07 6.09358e+08 5.95758e+07 1.35313e+08 6.62192e+08 9.849e+07 5.36715e+08 2.74073e+08 6.97716e+07 8
6.66924e+09 5.25935e+08 2.94678e+07 5.21825e+08 7.78184e+07 6.31788e+07 7.52351e+08 3.45799e+07 7.43049e+08 6.77395e+07 6.82641e+07 7
9.66967e+09 6.17925e+08 7.11888e+07 7.2039e+08 1.57604e+08 3.81742e+08 7.40027e+08 9.66603e+07 6.74785e+08 4.66483e+08 3.3094e+08 10
1.57555e+10 5.63953e+08 4.3111e+07 5.26385e+08 2.84403e+08 1.6622e+08 6.31664e+08 4.64244e+07 6.74785e+08 2.03209e+08 2.79924e+08 21
2.53896e+10 5.08117e+08 4.70944e+07 4.5052e+08 1.95799e+08 1.14545e+08 8.36049e+08 6.03521e+07 8.10788e+08 3.94861e+08 2.04782e+08 21
3.88244e+10 5.78106e+08 5.21831e+07 5.07642e+08 3.4346e+08 1.66364e+08 7.76647e+08 4.94621e+07 7.43049e+08 2.67711e+08 2.06334e+08 23
6.0495e+10 5.34554e+08 3.71057e+07 4.7771e+08 3.2478e+08 1.17545e+08 8.75338e+08 4.94993e+07 9.28231e+08 2.13037e+08 3.91515e+08 31
1.07464e+11 5.78465e+08 8.51678e+07 4.5052e+08 5.6024e+08 9.20982e+07 9.68552e+08 1.01792e+08 9.44654e+08 3.87959e+08 4.7771e+08 11
1.3624e+11 5.01105e+08 1.1983e+08 4.66944e+08 2.56675e+08 1.5419e+08 1.07126e+09 1.34386e+08 1.20565e+09 0 4.03159e+08 3
