#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.69569e+07 0.0419261 0.0460422 0.000247995 0 0 0 0.00478316 2.11822e-05 0 0 0 857127
1.57064e+08 0.0664252 0.0749227 0.000535753 0 0 0 0.00778351 4.86676e-05 0 0.00886013 0 306209
2.49165e+08 0.0948669 0.10978 0.000726497 0 0 0 0.0113689 6.77076e-05 0 0.0175517 0 247494
3.94906e+08 0.125402 0.147433 0.000931329 0 0 0 0.0151505 8.796e-05 0 0.0267718 0 201664
6.25322e+08 0.157708 0.18932 0.00117938 0 0 0 0.019542 0.000112882 0 0.0373648 0 161615
9.90697e+08 0.195041 0.238873 0.00149933 0 1 0 0.024505 0.000145069 0 0.0517688 0 125640
1.57054e+09 0.240525 0.301553 0.00189761 0 1 0 0.0312257 0.000187765 0 0.0677896 0 98414
2.48952e+09 0.297333 0.384569 0.00239141 0 1 0 0.0399926 0.000243152 0.00869171 0.0793635 0.00869171 77583
3.95172e+09 0.355624 0.475451 0.00294497 0 1 0 0.0502348 0.00030693 0.0171718 0.0934604 0.0171718 62223
6.2572e+09 0.427395 0.593661 0.00359572 0 1 0 0.0638826 0.000391153 0.0270175 0.110339 0.0270175 50389
9.9299e+09 0.506185 0.740166 0.00435085 1 1 1 0.0818954 0.000497447 0.0441481 0.127898 0.0441481 41311
1.57133e+10 0.589897 0.918349 0.00526931 1 1 1 0.105991 0.000637965 0.0672706 0.14996 0.0672706 33533
2.48777e+10 0.679483 1.13478 0.00637222 1 1 1 0.138562 0.00082922 0.0990026 0.174466 0.0867211 26607
3.92626e+10 0.755171 1.35233 0.00786242 1 1 1 0.17755 0.00111195 0.140983 0.194339 0.115689 19144
6.15637e+10 0.823711 1.55218 0.0100824 1 2 1 0.229607 0.00155698 0.198976 0.213793 0.146312 11969
9.62665e+10 0.881973 1.72753 0.0144417 2 1 1 0.296003 0.00252906 0.273937 0.224308 0.180923 5575
1.5083e+11 0.901731 1.76782 0.0239213 2 1 1 0.379411 0.00468386 0.36776 0.24512 0.223045 1964
2.3672e+11 0.871845 1.69903 0.0498704 2 1 1 0.494285 0.0087182 0.518687 0.184974 0.247496 515
3.6492e+11 0.801418 1.40426 0.0865755 1 2 1 0.649159 0.0145971 0.68341 0.11929 0.204275 141
5.79766e+11 0.714286 0.892857 0.148531 1 0 1 0.76377 0.0235926 0.775423 0.0933223 0.0764362 28
9.73762e+11 0.571429 0.571429 0.202031 1 0 1 0.791856 0.0185154 0.782244 0.0633386 0.0220381 7
1.59704e+12 0.5 0.5 0.5 1 0 1 0.825956 0.00729963 0.833256 0 0.0145993 2
