#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.95 - 3.11667
#HM    Stats: 1.277940e+14 (median) + 1.848500e+13  / - 1.866200e+13
#SM    Stats: 3.454710e+11 (median) + 1.184230e+11  / - 5.006983e+09
#ObsSM Stats: 3.448720e+11 (median) + 2.420840e+11  / - 9.296000e+10
#VMP   Stats: 9.854700e+02 (median) + 3.236005e+01  / - 8.632996e+01
#ICL   Stats: 9.306270e+10 (median) + 5.908230e+10  / - 7.044899e+09
#SSFR  Stats: 1.899853e-11 (median) + 8.019954e-12  / - 6.467049e-15
sfh 0.15181 373.504 6.01999 341.562 #avg: 261.657; avg_err: 114.87; sd: 162.451; counts: 3
sfh 0.156873 374.804 42.44 346.644 #avg: 273.403; avg_err: 123.232; sd: 174.276; counts: 3
sfh 0.161935 228.596 149.176 193.316 #avg: 213.883; avg_err: 99.1422; sd: 140.208; counts: 3
sfh 0.166998 283.884 183.995 236.658 #avg: 266.33; avg_err: 121.749; sd: 172.179; counts: 3
sfh 0.17206 198.505 501.62 138.754 #avg: 319.46; avg_err: 194.501; sd: 275.067; counts: 3
sfh 0.177123 205.208 422.1 123.545 #avg: 304.726; avg_err: 165.187; sd: 233.609; counts: 3
sfh 0.182185 205.701 406.964 76.719 #avg: 315.783; avg_err: 150.084; sd: 212.251; counts: 3
sfh 0.187248 276.972 807.898 154.473 #avg: 494.78; avg_err: 298.396; sd: 421.995; counts: 3
sfh 0.19231 334.478 421.728 214.316 #avg: 403.615; avg_err: 186.836; sd: 264.226; counts: 3
sfh 0.197373 274.071 17.539 106.026 #avg: 244.575; avg_err: 38.5987; sd: 54.5868; counts: 3
sfh 0.202435 165.437 253.9 15.092 #avg: 245.04; avg_err: 87.2575; sd: 123.401; counts: 3
sfh 0.207498 192.286 87.863 59.203 #avg: 201.839; avg_err: 42.7222; sd: 60.4183; counts: 3
sfh 0.21256 180.566 6.24301 93.1184 #avg: 151.608; avg_err: 32.1305; sd: 45.4395; counts: 3
sfh 0.217623 84.9861 63.8379 46.1804 #avg: 90.8719; avg_err: 31.8956; sd: 45.1072; counts: 3
sfh 0.222685 108.147 25.131 36.6723 #avg: 104.3; avg_err: 17.9445; sd: 25.3773; counts: 3
sfh 0.227748 56.551 193.578 11.5932 #avg: 117.213; avg_err: 66.5424; sd: 94.1052; counts: 3
sfh 0.23281 44.7085 235.827 7.1621 #avg: 120.93; avg_err: 79.8293; sd: 112.896; counts: 3
sfh 0.237873 54.516 280.964 20.0055 #avg: 141.502; avg_err: 97.1607; sd: 137.406; counts: 3
sfh 0.242935 58.3439 42.6751 18.6384 #avg: 66.3561; avg_err: 18.1474; sd: 25.6643; counts: 3
sfh 0.247998 105.666 123.429 6.7433 #avg: 144.561; avg_err: 42.3117; sd: 59.8378; counts: 3
sfh 0.25306 109.472 157.099 17.2683 #avg: 156.082; avg_err: 55.4688; sd: 78.4448; counts: 3
sfh 0.258123 107.165 329.453 42.9048 #avg: 202.681; avg_err: 117.622; sd: 166.343; counts: 3
sfh 0.263185 177.516 175.019 105.209 #avg: 200.786; avg_err: 81.7272; sd: 115.58; counts: 3
sfh 0.268248 138.001 244.33 73.5804 #avg: 194.918; avg_err: 96.0839; sd: 135.883; counts: 3
sfh 0.27331 220.114 201.918 193.65 #avg: 222.87; avg_err: 114.199; sd: 161.502; counts: 3
sfh 0.278373 204.637 277.638 180.043 #avg: 237.169; avg_err: 133.119; sd: 188.258; counts: 3
sfh 0.283435 148.736 797.176 136.083 #avg: 369.1; avg_err: 291.069; sd: 411.634; counts: 3
sfh 0.288498 214.18 778.548 97.009 #avg: 441.36; avg_err: 277.103; sd: 391.883; counts: 3
sfh 0.29356 199.051 472.908 165.972 #avg: 301.363; avg_err: 191.392; sd: 270.669; counts: 3
sfh 0.298623 263.935 91.224 212.529 #avg: 223.5; avg_err: 89.9865; sd: 127.26; counts: 3
sfh 0.303685 337.507 26.466 333.48 #avg: 235.169; avg_err: 115.823; sd: 163.799; counts: 3
sfh 0.308748 403.105 14.052 395.366 #avg: 276; avg_err: 134.192; sd: 189.776; counts: 3
sfh 0.31381 331.609 68.394 320.504 #avg: 247.572; avg_err: 119.871; sd: 169.523; counts: 3
sfh 0.318873 207.534 56.683 204.391 #avg: 158.298; avg_err: 79.2843; sd: 112.125; counts: 3
sfh 0.323935 225.091 35.664 221.966 #avg: 162.99; avg_err: 80.5928; sd: 113.975; counts: 3
