#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.20492e+09 5.6284e+08 6.38955e+06 4.68813e+08 3.2584e+08 1.50832e+08 1.14911e+09 1.12998e+07 1.093e+09 6.27305e+08 4.81181e+08 2214
1.5181e+10 4.98005e+08 9.52665e+06 4.25749e+08 2.58533e+08 1.13178e+08 1.5416e+09 2.68097e+07 1.48721e+09 6.90425e+08 6.33798e+08 564
2.42314e+10 4.68e+08 1.66751e+07 3.99279e+08 2.23349e+08 9.03734e+07 1.59806e+09 5.79624e+07 1.56521e+09 7.61983e+08 7.92119e+08 162
4.07919e+10 4.50077e+08 1.90175e+07 3.89961e+08 2.43837e+08 7.29936e+07 1.11532e+09 6.50357e+07 9.3351e+08 7.86793e+08 4.02633e+08 90
6.50415e+10 4.44239e+08 1.38439e+07 3.95545e+08 1.63387e+08 7.65853e+07 9.22523e+08 3.31789e+07 7.73094e+08 5.57248e+08 2.42217e+08 196
1.04921e+11 4.56601e+08 8.512e+06 3.98077e+08 2.31462e+08 8.1109e+07 9.73181e+08 2.14336e+07 8.53413e+08 6.33798e+08 3.22537e+08 437
1.62075e+11 4.87971e+08 6.99018e+06 4.00439e+08 2.92937e+08 8.24583e+07 9.94511e+08 1.5737e+07 8.53413e+08 6.33798e+08 3.22537e+08 987
2.57582e+11 5.12613e+08 5.43219e+06 4.44286e+08 2.72074e+08 1.25327e+08 1.01896e+09 1.15653e+07 8.53413e+08 7.11799e+08 3.22537e+08 1796
4.03258e+11 5.4731e+08 4.95725e+06 4.73838e+08 3.12956e+08 1.54879e+08 1.04518e+09 9.81268e+06 9.3351e+08 6.31703e+08 4.02633e+08 2724
6.33096e+11 5.92845e+08 4.9119e+06 4.91707e+08 3.80947e+08 1.70892e+08 1.04921e+09 8.75505e+06 9.3351e+08 6.31703e+08 4.02633e+08 3612
9.96361e+11 6.54531e+08 5.45707e+06 5.58931e+08 4.00241e+08 2.35583e+08 1.07029e+09 8.68897e+06 9.3351e+08 7.09403e+08 4.02633e+08 3846
1.56684e+12 7.17027e+08 6.81493e+06 6.20184e+08 4.72814e+08 2.50868e+08 1.05612e+09 9.46626e+06 9.3351e+08 7.09403e+08 4.02633e+08 3270
2.45018e+12 7.89398e+08 9.34084e+06 6.67882e+08 5.66315e+08 2.77921e+08 1.04333e+09 1.17562e+07 9.3351e+08 7.09403e+08 4.02633e+08 2173
3.8673e+12 8.63941e+08 1.44725e+07 7.73094e+08 5.57248e+08 3.76261e+08 9.95164e+08 1.56308e+07 8.53413e+08 7.11799e+08 3.22537e+08 1115
6.10512e+12 8.95428e+08 2.49245e+07 7.61983e+08 5.76726e+08 3.63906e+08 9.32488e+08 2.25855e+07 8.53413e+08 5.55505e+08 3.22537e+08 473
9.55478e+12 9.6485e+08 3.43683e+07 8.53413e+08 6.37064e+08 3.69649e+08 8.82675e+08 3.07497e+07 7.73094e+08 5.57248e+08 3.23348e+08 226
1.53267e+13 8.6326e+08 5.24053e+07 7.22627e+08 7.3955e+08 2.72882e+08 8.43035e+08 4.73717e+07 6.92559e+08 5.58931e+08 2.31184e+08 80
2.441e+13 8.58416e+08 1.07185e+08 6.43252e+08 9.16796e+08 1.93507e+08 8.05455e+08 8.42265e+07 6.92559e+08 5.58931e+08 2.42813e+08 25
3.6296e+13 1.13939e+09 1.41695e+08 1.2342e+09 4.08715e+08 8.31565e+08 8.94935e+08 1.12183e+08 9.3351e+08 2.38863e+08 4.02633e+08 14
6.46507e+13 8.38011e+08 1.15384e+08 9.53396e+08 0 2.30769e+08 5.30781e+08 8.10357e+07 6.11817e+08 0 1.62071e+08 2
9.28403e+13 7.39176e+08 1.42571e+08 7.89499e+08 3.82873e+08 3.85832e+08 7.42747e+08 1.25866e+08 8.53413e+08 2.26821e+08 4.03668e+08 5
1.46279e+14 4.83764e+08 4.83764e+08 4.83764e+08 0 0 4.49746e+08 4.49746e+08 4.49746e+08 0 0 1
