#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.73136e+07 0.0019052 0.00192202 5.46321e-05 0 0 0 0.00122858 1.28303e-05 0 0 0 653999
1.57244e+08 0.00443303 0.00447412 0.000136518 0 0 0 0.0025397 3.13851e-05 0 0 0 243400
2.49103e+08 0.00709593 0.00716234 0.000192371 0 0 0 0.0039634 4.53985e-05 0 0 0 195746
3.94279e+08 0.0117222 0.0118953 0.000278555 0 0 0 0.00615907 6.55152e-05 0 0 0 155944
6.25113e+08 0.0173618 0.0175975 0.000379936 0 0 0 0.00911339 9.32514e-05 0 0 0 123029
9.90782e+08 0.0263687 0.026923 0.000529419 0 0 0 0.0135014 0.000133394 0 0.0153944 0 97426
1.5715e+09 0.0374162 0.0381769 0.000702415 0 0 0 0.0193295 0.000187171 0 0.0308145 0 77560
2.49231e+09 0.0526602 0.0539715 0.000926531 0 0 0 0.027466 0.000257369 0 0.0553104 0 62533
3.95657e+09 0.074813 0.0773961 0.00121494 0 0 0 0.0384366 0.000346352 0 0.0843131 0 51876
6.28443e+09 0.102401 0.106695 0.00152932 0 0 0 0.0531956 0.000462208 0 0.120481 0 44482
9.97821e+09 0.138684 0.144761 0.00182249 0 0 0 0.0744838 0.000586692 0.0149716 0.155811 0.0149716 40978
1.58069e+10 0.182019 0.193375 0.00216964 0 1 0 0.0988816 0.000708833 0.0323964 0.195107 0.0323964 38040
2.50163e+10 0.227871 0.244564 0.00249304 0 1 0 0.128458 0.000836539 0.0656171 0.221892 0.0656171 35226
3.94874e+10 0.256084 0.276382 0.00280662 0 1 0 0.158303 0.000980676 0.0989921 0.245539 0.0989921 30693
6.21486e+10 0.274599 0.30187 0.0033895 0 1 0 0.190839 0.00122592 0.137094 0.263856 0.137094 23212
9.72514e+10 0.268294 0.291 0.00433549 0 1 0 0.227767 0.00174206 0.180734 0.281129 0.166431 13433
1.52153e+11 0.257331 0.27511 0.00657349 0 1 0 0.280486 0.00300562 0.249023 0.295426 0.219586 5456
2.3682e+11 0.2249 0.23494 0.0115689 0 1 0 0.35356 0.00632789 0.352515 0.289535 0.295781 1494
3.72207e+11 0.193676 0.201581 0.0264842 0 1 0 0.44455 0.0155579 0.498544 0.205028 0.375944 253
5.68821e+11 0.208333 0.208333 0.0846811 0 1 0 0.533216 0.0503552 0.625244 0.163499 0.367179 24
8.38686e+11 0 0 0 0 0 0 0.754869 0.0480856 0.800761 0.0480994 0.17509 4
