#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 1.32997e+10 0 -24 -23.5
-23.25 0 5.53278e+10 0 -23.5 -23
-22.75 9.00692e+09 2.77441e+10 9.00692e+09 -23 -22.5
-22.25 5.29033e+09 1.21743e+10 2.80177e+09 -22.5 -22
-21.75 3.03902e+09 2.58953e+09 1.62632e+09 -22 -21.5
-21.25 1.51444e+09 7.90583e+08 7.07748e+08 -21.5 -21
-20.75 7.98442e+08 2.92464e+08 3.21053e+08 -21 -20.5
-20.25 4.30632e+08 1.27623e+08 1.4481e+08 -20.5 -20
-19.75 2.46506e+08 5.23401e+07 6.89828e+07 -20 -19.5
-19.25 1.42465e+08 1.95092e+07 3.1932e+07 -19.5 -19
-18.75 8.44861e+07 1.05876e+07 1.5163e+07 -19 -18.5
-18.25 5.07203e+07 6.559e+06 7.15992e+06 -18.5 -18
-17.75 3.07587e+07 4.29878e+06 3.3127e+06 -18 -17.5
-17.25 0 0 0 -17.5 -17
