#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 0 0 -22.5 -22
-21.75 0 0 0 -22 -21.5
-21.25 0 7.37517e+08 0 -21.5 -21
-20.75 0 7.63045e+08 0 -21 -20.5
-20.25 0 5.67244e+08 0 -20.5 -20
-19.75 0 2.84766e+08 0 -20 -19.5
-19.25 0 1.56313e+08 0 -19.5 -19
-18.75 0 8.19158e+07 0 -19 -18.5
-18.25 0 4.64753e+07 0 -18.5 -18
-17.75 0 2.69275e+07 0 -18 -17.5
-17.25 0 0 0 -17.5 -17
