#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 5.71421e+09 0 -24 -23.5
-23.25 0 2.55352e+10 0 -23.5 -23
-22.75 0 2.19724e+10 0 -23 -22.5
-22.25 3.35513e+09 8.02886e+09 3.35513e+09 -22.5 -22
-21.75 2.1501e+09 3.03979e+09 1.16635e+09 -22 -21.5
-21.25 1.1697e+09 8.59302e+08 5.43436e+08 -21.5 -21
-20.75 5.94496e+08 3.63602e+08 2.19065e+08 -21 -20.5
-20.25 3.38759e+08 1.41731e+08 1.03098e+08 -20.5 -20
-19.75 2.01885e+08 6.13467e+07 5.07433e+07 -20 -19.5
-19.25 1.2265e+08 2.13721e+07 2.66737e+07 -19.5 -19
-18.75 7.55121e+07 7.74763e+06 1.47895e+07 -19 -18.5
-18.25 4.67079e+07 3.78846e+06 8.08329e+06 -18.5 -18
-17.75 2.85381e+07 1.90439e+06 3.88894e+06 -18 -17.5
-17.25 0 0 0 -17.5 -17
