#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 1.90454e+11 3.88707e+10 9.28396e+10 -24 -23.5
-23.25 9.02254e+10 3.99302e+10 3.88325e+10 -23.5 -23
-22.75 4.37563e+10 9.91344e+09 1.61293e+10 -23 -22.5
-22.25 2.25429e+10 2.31954e+09 8.21931e+09 -22.5 -22
-21.75 9.8258e+09 6.16636e+08 2.92763e+09 -22 -21.5
-21.25 4.28842e+09 2.58393e+08 9.54321e+08 -21.5 -21
-20.75 2.03158e+09 1.47845e+08 3.84705e+08 -21 -20.5
-20.25 1.03396e+09 8.94032e+07 1.61369e+08 -20.5 -20
-19.75 5.64792e+08 6.37542e+07 8.12542e+07 -20 -19.5
-19.25 3.204e+08 4.79983e+07 4.39746e+07 -19.5 -19
-18.75 1.88185e+08 3.08976e+07 2.40578e+07 -19 -18.5
-18.25 1.13507e+08 2.00663e+07 1.34859e+07 -18.5 -18
-17.75 6.93126e+07 1.30893e+07 8.29559e+06 -18 -17.5
-17.25 0 0 0 -17.5 -17
