#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 1.30657e+11 8.36958e+09 1.30657e+11 -24 -23.5
-23.25 8.15731e+10 1.2904e+10 4.28616e+10 -23.5 -23
-22.75 3.7332e+10 1.43292e+10 1.80762e+10 -23 -22.5
-22.25 1.72705e+10 3.69667e+09 7.59226e+09 -22.5 -22
-21.75 7.85552e+09 1.08584e+09 2.9614e+09 -22 -21.5
-21.25 3.42945e+09 4.94099e+08 1.02635e+09 -21.5 -21
-20.75 1.59564e+09 2.16169e+08 3.65428e+08 -21 -20.5
-20.25 8.21654e+08 1.11043e+08 1.63018e+08 -20.5 -20
-19.75 4.43364e+08 6.04176e+07 7.40208e+07 -20 -19.5
-19.25 2.50184e+08 3.49036e+07 3.63707e+07 -19.5 -19
-18.75 1.45659e+08 2.17638e+07 1.86535e+07 -19 -18.5
-18.25 8.69633e+07 1.24333e+07 1.07634e+07 -18.5 -18
-17.75 5.28728e+07 7.91499e+06 6.72634e+06 -18 -17.5
-17.25 0 0 0 -17.5 -17
