#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 2.1504e+11 4.66674e+10 9.68165e+10 -24 -23.5
-23.25 1.01658e+11 2.90439e+10 3.23437e+10 -23.5 -23
-22.75 5.90987e+10 5.60021e+09 1.94997e+10 -23 -22.5
-22.25 2.97806e+10 8.62935e+08 8.54221e+09 -22.5 -22
-21.75 1.33156e+10 1.43813e+08 3.20727e+09 -22 -21.5
-21.25 5.85981e+09 1.79602e+08 1.06408e+09 -21.5 -21
-20.75 2.80363e+09 1.9547e+08 4.23433e+08 -21 -20.5
-20.25 1.44522e+09 1.78917e+08 1.92784e+08 -20.5 -20
-19.75 7.91319e+08 1.20632e+08 9.73669e+07 -20 -19.5
-19.25 4.54086e+08 8.17192e+07 5.55602e+07 -19.5 -19
-18.75 2.69683e+08 5.0994e+07 3.27607e+07 -19 -18.5
-18.25 1.63766e+08 3.33472e+07 2.04664e+07 -18.5 -18
-17.75 1.00812e+08 2.15912e+07 1.252e+07 -18 -17.5
-17.25 0 0 0 -17.5 -17
