#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 2.64571e+11 1.01089e+11 8.32753e+10 -24 -23.5
-23.25 1.44776e+11 2.71859e+10 4.36079e+10 -23.5 -23
-22.75 8.03102e+10 9.4508e+09 2.23851e+10 -23 -22.5
-22.25 4.14655e+10 2.58832e+09 1.05743e+10 -22.5 -22
-21.75 1.89754e+10 1.27249e+09 4.53943e+09 -22 -21.5
-21.25 8.37181e+09 7.34636e+08 1.40804e+09 -21.5 -21
-20.75 4.03891e+09 4.93958e+08 6.15167e+08 -21 -20.5
-20.25 2.09903e+09 3.42516e+08 2.70978e+08 -20.5 -20
-19.75 1.15313e+09 2.22625e+08 1.39558e+08 -20 -19.5
-19.25 6.6745e+08 1.40866e+08 7.81573e+07 -19.5 -19
-18.75 4.00149e+08 9.32632e+07 4.4156e+07 -19 -18.5
-18.25 2.45774e+08 5.98504e+07 2.60239e+07 -18.5 -18
-17.75 1.53695e+08 3.84245e+07 1.60639e+07 -18 -17.5
-17.25 0 0 0 -17.5 -17
