#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 5.30999e+10 0 -24 -23.5
-23.25 3.56079e+10 4.44275e+10 3.56079e+10 -23.5 -23
-22.75 2.06544e+10 2.83904e+10 1.23562e+10 -23 -22.5
-22.25 1.03089e+10 8.69148e+09 5.85137e+09 -22.5 -22
-21.75 4.17361e+09 1.84168e+09 2.08546e+09 -22 -21.5
-21.25 2.017e+09 6.90526e+08 8.90249e+08 -21.5 -21
-20.75 1.00142e+09 2.86632e+08 3.67743e+08 -21 -20.5
-20.25 5.22187e+08 1.32534e+08 1.51983e+08 -20.5 -20
-19.75 2.84135e+08 5.34694e+07 6.57499e+07 -20 -19.5
-19.25 1.61582e+08 2.62866e+07 2.97662e+07 -19.5 -19
-18.75 9.42334e+07 1.41816e+07 1.36276e+07 -19 -18.5
-18.25 5.60393e+07 8.95221e+06 6.70797e+06 -18.5 -18
-17.75 3.38241e+07 4.62118e+06 3.48383e+06 -18 -17.5
-17.25 0 0 0 -17.5 -17
