#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 2.82267e+09 0 -22.5 -22
-21.75 0 2.74486e+09 0 -22 -21.5
-21.25 4.16002e+08 1.12814e+09 4.16002e+08 -21.5 -21
-20.75 4.89196e+08 3.06888e+08 4.89196e+08 -21 -20.5
-20.25 2.24865e+08 1.93179e+08 6.26772e+07 -20.5 -20
-19.75 1.39714e+08 8.60489e+07 2.35704e+07 -20 -19.5
-19.25 8.87934e+07 3.46116e+07 1.09682e+07 -19.5 -19
-18.75 5.56671e+07 1.62429e+07 5.98547e+06 -19 -18.5
-18.25 3.51853e+07 6.98266e+06 3.71542e+06 -18.5 -18
-17.75 2.20968e+07 3.3437e+06 2.16035e+06 -18 -17.5
-17.25 0 0 0 -17.5 -17
