#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 4.58593e+09 0 -22.5 -22
-21.75 1.02467e+09 2.32929e+09 1.02467e+09 -22 -21.5
-21.25 7.1951e+08 1.06626e+09 3.1076e+08 -21.5 -21
-20.75 4.52731e+08 4.20175e+08 1.43038e+08 -21 -20.5
-20.25 2.57645e+08 1.76046e+08 5.05264e+07 -20.5 -20
-19.75 1.60127e+08 7.08544e+07 2.9366e+07 -20 -19.5
-19.25 1.02281e+08 3.1684e+07 1.96236e+07 -19.5 -19
-18.75 6.48581e+07 1.1544e+07 1.24474e+07 -19 -18.5
-18.25 4.08701e+07 4.68912e+06 7.25787e+06 -18.5 -18
-17.75 2.55783e+07 1.96943e+06 4.02685e+06 -18 -17.5
-17.25 0 0 0 -17.5 -17
