#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 1.28015e+09 0 -22.5 -22
-21.75 0 1.45875e+09 0 -22 -21.5
-21.25 0 1.10705e+09 0 -21.5 -21
-20.75 0 6.32643e+08 0 -21 -20.5
-20.25 1.62209e+08 2.02087e+08 1.62209e+08 -20.5 -20
-19.75 1.22563e+08 8.87054e+07 1.22563e+08 -20 -19.5
-19.25 7.7093e+07 3.55511e+07 7.7093e+07 -19.5 -19
-18.75 4.77301e+07 1.84418e+07 4.77301e+07 -19 -18.5
-18.25 3.18797e+07 7.81452e+06 3.18797e+07 -18.5 -18
-17.75 2.01569e+07 4.04849e+06 2.01569e+07 -18 -17.5
-17.25 0 0 0 -17.5 -17
