#Redshift Scale_Factor_Of_Snapshot_Used Actual_Redshift
0 1.002310 -0.00230467619798269
0.1 0.911185 0.0974719733094815
0.5 0.668185 0.496591512829531
1 0.501122 0.995522048523114
2 0.334060 1.99347422618691
3 0.247998 3.03229058298857
4 0.202435 3.93985723812582
5 0.166998 4.98809566581636
6 0.141685 6.05791015280375
7 0.126498 6.90526332432133
8 0.109623 8.12217326655903
9 0.102873 8.72072361066558
