#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.25866 0.00324202 0.0464395 0.887565 0.0195888 0.00544518 1.11715 -0.000671864 0.018723
0.0231134 1.3435 0.00629127 0.0531543 0.855998 0.0216227 0.00801539 1.15004 -0.00350797 0.0196935
0.0308222 1.35348 0.0193357 0.0424961 0.852431 0.018532 0.0124494 1.15375 0.00310171 0.0166478
0.0411021 1.37349 0.017134 0.0434246 0.845371 0.0185075 0.0114129 1.16111 0.00215387 0.0171046
0.0548105 1.43411 0.0157349 0.0538074 0.824674 0.0210031 0.0116849 1.18267 0.000892282 0.0194428
0.073091 1.48958 0.0193282 0.0539019 0.806604 0.0212764 0.0121672 1.2015 0.000769615 0.0189886
0.0974684 1.54742 0.0200416 0.0517811 0.788585 0.0191003 0.0116953 1.22027 0.00135601 0.0178473
0.129976 1.61473 0.0257978 0.0496992 0.768607 0.0180879 0.0137324 1.24109 0.00288653 0.0169331
0.173326 1.68261 0.0242443 0.0532097 0.749455 0.0181023 0.0130584 1.26104 0.00229335 0.0178599
0.231134 1.7436 0.0236385 0.0538462 0.733047 0.0170415 0.0131133 1.27814 0.00297058 0.0186176
0.308222 1.81702 0.0332987 0.046888 0.714221 0.0156626 0.0156472 1.29775 0.0041275 0.0176131
0.411021 1.88881 0.037954 0.0460374 0.696725 0.0159508 0.016866 1.31598 0.0055275 0.0181328
0.548105 1.95992 0.0513147 0.0395495 0.68022 0.0138466 0.0207039 1.33318 0.00831926 0.0160006
0.73091 2.04352 0.0623617 0.0370519 0.66179 0.0139497 0.0227174 1.35238 0.0116981 0.016618
0.974684 2.10213 0.0932941 0.0343125 0.649455 0.0104823 0.0269772 1.36524 0.0178077 0.0171119
1.29976 2.08762 0.120452 0.0309145 0.652463 0.00648701 0.0311301 1.3621 0.0245069 0.0165092
1.73326 2.03522 0.126061 0.0225835 0.663576 0.00445467 0.0321994 1.35052 0.0285125 0.0155263
2.31134 1.97527 0.114866 0.0263653 0.67676 0.00524342 0.0312785 1.33678 0.0260181 0.0159543
3.08222 1.83586 0.121522 0.0220184 0.709553 0.00489748 0.0352426 1.30264 0.0303047 0.0125825
4.11021 1.6643 0.121265 0.00301635 0.754525 0 0.0382524 1.25575 0.0344177 0.00649893
5.48105 1.60704 0.0867332 0.00423598 0.770841 0.000719249 0.0300825 1.23877 0.0256156 0.0052073
7.3091 1.43811 0.0729613 -0.00320363 0.823333 -0.00200647 0.0282521 1.18404 0.0254582 0.00375366
9.74684 1.35239 0.0713055 0.00157714 0.852824 0 0.0269383 1.15335 0.0279659 0.00618947
