#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>9.8
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.30333 0.0756356 0.0698217 0.883293 0.021134 0.0324048 1.15122 0.0216135 0.0374078
0.0231134 1.35414 0.0799286 0.0723264 0.866355 0.0204016 0.0348188 1.17317 0.0220351 0.0394667
0.0308222 1.38842 0.101696 0.0663691 0.855293 0.0164583 0.0385553 1.1875 0.0264641 0.0369985
0.0411021 1.44649 0.113845 0.0637554 0.837182 0.0152436 0.0441627 1.21097 0.0272906 0.0363164
0.0548105 1.5073 0.132882 0.0603936 0.819018 0.0116458 0.0493503 1.23451 0.0331882 0.0342216
0.073091 1.57577 0.150585 0.0522468 0.799488 0.00903493 0.0524505 1.25981 0.0357083 0.0306447
0.0974684 1.64904 0.17501 0.0437433 0.779598 0.00528646 0.0566504 1.28559 0.0373471 0.0277731
0.129976 1.74972 0.186882 0.0401483 0.753825 0.00357753 0.0572904 1.31898 0.0384427 0.026575
0.173326 1.8462 0.203258 0.0341417 0.730676 0.00182545 0.0591885 1.34898 0.0371044 0.0267457
0.231134 1.96164 0.199145 0.0388367 0.704782 0.00113291 0.0563557 1.38253 0.0334572 0.0293605
0.308222 2.09659 0.18623 0.0378184 0.676744 0 0.0517687 1.41886 0.0253924 0.0290307
0.411021 2.22941 0.16538 0.0393636 0.651247 0.00299561 0.0448576 1.4519 0.0213184 0.0347903
0.548105 2.314 0.135663 0.0551825 0.635986 0.00481778 0.0384546 1.47167 0.0199605 0.0435821
0.73091 2.36639 0.116922 0.0787108 0.626886 0.00705701 0.0349234 1.48346 0.0171987 0.052568
0.974684 2.35032 0.100875 0.103937 0.629651 0.00969428 0.0300829 1.47988 0.0117581 0.0587298
1.29976 2.32054 0.0793548 0.123548 0.634836 0.0152349 0.0292702 1.47316 0.00765014 0.0647444
1.73326 2.27314 0.0514691 0.13906 0.643268 0.0177392 0.0250327 1.46224 0.00543928 0.0694495
2.31134 2.18757 0.0559182 0.134063 0.65907 0.0189099 0.0247545 1.44176 0.00744152 0.0683888
3.08222 2.09208 0.0453446 0.13439 0.677645 0.0193992 0.0217612 1.41769 0.00747395 0.0674646
4.11021 1.97612 0.0392507 0.131383 0.70166 0.0208173 0.0189529 1.38656 0.00501168 0.0652423
5.48105 1.80038 0.0326251 0.108635 0.74149 0.0187168 0.0182737 1.33496 0.00604331 0.0570045
7.3091 1.64467 0.02879 0.079612 0.780761 0.0151302 0.0166174 1.2841 0.00473499 0.0462416
9.74684 1.53937 0.0223905 0.0628784 0.80975 0.0125678 0.0171627 1.2465 0.00257826 0.0382644
