#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.25633 0.0149171 0.031883 0.872011 0.0151165 0.00810486 1.09553 0.00425768 0.0101858
0.0231134 1.30798 0.0144573 0.0419217 0.850084 0.0186889 0.00745064 1.1119 0.00319123 0.0129842
0.0308222 1.36051 0.0154775 0.0343313 0.828892 0.0151179 0.00784618 1.12772 0.00366843 0.010143
0.0411021 1.38785 0.0170549 0.0370879 0.818273 0.0161037 0.00943261 1.13564 0.00418413 0.0113991
0.0548105 1.45621 0.0180116 0.0394973 0.792879 0.0159718 0.00918162 1.1546 0.00369883 0.0107313
0.073091 1.50854 0.0217501 0.0355228 0.774476 0.0144836 0.0104408 1.16833 0.00485349 0.0100272
0.0974684 1.57682 0.026787 0.0374248 0.751715 0.0149369 0.0121865 1.18532 0.00558829 0.00978959
0.129976 1.64616 0.0279031 0.0360578 0.729928 0.0140614 0.0120468 1.20158 0.00591922 0.00935221
0.173326 1.72683 0.0308614 0.0374038 0.706121 0.0138512 0.0123885 1.21935 0.00614405 0.00947118
0.231134 1.81731 0.0297165 0.044323 0.681201 0.0136277 0.0120883 1.23795 0.00623357 0.00992727
0.308222 1.90254 0.0314798 0.0409231 0.659282 0.0132488 0.0124832 1.25431 0.00628233 0.0101919
0.411021 1.99866 0.0389144 0.0364804 0.636199 0.0117475 0.0144259 1.27154 0.00718462 0.00939918
0.548105 2.08739 0.0527735 0.0324965 0.616278 0.0105891 0.0165951 1.28641 0.0086174 0.00868642
0.73091 2.19358 0.0545135 0.0416412 0.594018 0.011 0.0159548 1.30302 0.00921786 0.0102509
0.974684 2.25664 0.05726 0.0513113 0.581543 0.0125213 0.0162638 1.31234 0.0107162 0.0129302
1.29976 2.22886 0.0806415 0.0499403 0.586973 0.0129988 0.0195677 1.30828 0.0131558 0.0135424
1.73326 2.21568 0.0926137 0.0460005 0.589585 0.0115084 0.0219294 1.30633 0.016394 0.0135159
2.31134 2.13434 0.0987637 0.0564647 0.606234 0.0145272 0.0238776 1.29391 0.0177166 0.0123264
3.08222 2.01746 0.057354 0.0771016 0.631872 0.0192971 0.0160068 1.27477 0.0103951 0.0162247
4.11021 1.81564 0.0592792 0.0398736 0.681644 0.0128028 0.0181324 1.23762 0.0131763 0.0122594
5.48105 1.6916 0.0801928 0.024593 0.716318 0.0100321 0.0264178 1.21173 0.016812 0.00792134
7.3091 1.54233 0.0681794 0.0134451 0.763043 0.00615692 0.0253606 1.17686 0.0170679 0.00501871
9.74684 1.47498 0.0416195 0.0251522 0.786182 0.0103407 0.0164005 1.1596 0.0122236 0.00803125
