#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.24002 0.0586611 0.0549765 0.888621 0.0201602 0.0343827 1.1019 0.00844765 0.0255873
0.0231134 1.28575 0.0619892 0.0555012 0.870155 0.0194154 0.0370448 1.1188 0.00689149 0.0269635
0.0308222 1.31031 0.075413 0.0472939 0.860549 0.0172993 0.0413066 1.12759 0.00885868 0.0241927
0.0411021 1.35236 0.0843166 0.04484 0.844591 0.014529 0.0451663 1.14219 0.00963306 0.0225458
0.0548105 1.39996 0.101777 0.0413876 0.827223 0.0127404 0.0523607 1.15808 0.0113251 0.020577
0.073091 1.46175 0.115501 0.037361 0.805718 0.0104244 0.056032 1.17776 0.0111964 0.0189033
0.0974684 1.52417 0.13556 0.0272094 0.785097 0.00624293 0.0615494 1.19662 0.0121047 0.0174938
0.129976 1.60921 0.156684 0.0249913 0.758647 0.0023585 0.0639638 1.22082 0.0120109 0.0193832
0.173326 1.69495 0.170568 0.0219774 0.733724 0.00207269 0.0655036 1.24363 0.0116751 0.0194783
0.231134 1.79952 0.176435 0.025249 0.705459 0.00128806 0.0653021 1.26949 0.0101836 0.0216916
0.308222 1.93926 0.170892 0.0296831 0.67092 0.00122917 0.0601652 1.30109 0.006428 0.0289782
0.411021 2.08777 0.164971 0.0484183 0.637737 0.00439906 0.0555994 1.33145 0.00283813 0.0385327
0.548105 2.20418 0.150026 0.0522301 0.613935 0.00397581 0.0512121 1.35322 0.00151587 0.0478095
0.73091 2.29442 0.130626 0.0577476 0.596674 0.00676394 0.0462025 1.36902 0.00354195 0.0556313
0.974684 2.30267 0.116821 0.0634558 0.595144 0.00730234 0.0421098 1.37042 0.00405872 0.0579822
1.29976 2.29606 0.102744 0.0813358 0.596368 0.00886804 0.0378293 1.3693 0.00440693 0.063351
1.73326 2.26886 0.0854492 0.083128 0.601464 0.0101863 0.0358974 1.36464 0.00386953 0.0663284
2.31134 2.20353 0.0814068 0.0921309 0.614063 0.0104439 0.034849 1.35311 0.00558054 0.0652676
3.08222 2.10862 0.0685837 0.0938981 0.633337 0.0112626 0.0306111 1.33547 0.00439036 0.0641407
4.11021 1.9742 0.0509715 0.0914344 0.662808 0.0136742 0.027862 1.30851 0.00462747 0.0623528
5.48105 1.79448 0.048741 0.070243 0.706771 0.00967276 0.0291994 1.26829 0.004143 0.0521774
7.3091 1.62024 0.0428586 0.0484035 0.755345 0.00668448 0.0258853 1.22384 0.0081768 0.0403675
9.74684 1.4978 0.0298012 0.0385653 0.793677 0.00705981 0.0234752 1.18877 0.00443053 0.0335835
