#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>9.8
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.30737 0.011077 0.072409 0.909326 0.019695 0.00410223 1.18883 0.00500429 0.0418082
0.0231134 1.37717 0.013885 0.0755132 0.89098 0.0202582 0.00471777 1.22703 0.00456607 0.0421478
0.0308222 1.40069 0.0234601 0.0713913 0.884962 0.0184658 0.00824821 1.23956 0.0101649 0.0399829
0.0411021 1.45657 0.0168668 0.0775331 0.870991 0.019971 0.00684327 1.26866 0.00728106 0.041455
0.0548105 1.51195 0.022831 0.0742726 0.85757 0.0185083 0.00803584 1.29661 0.0110613 0.0407517
0.073091 1.57579 0.0288026 0.0712396 0.842605 0.0167839 0.00880277 1.32777 0.0132505 0.0378115
0.0974684 1.64856 0.0298344 0.069461 0.82617 0.0158776 0.00883031 1.36199 0.0138509 0.0348543
0.129976 1.72439 0.0373458 0.0628929 0.809714 0.0145763 0.00907081 1.39627 0.0162905 0.0314063
0.173326 1.79882 0.0425155 0.0585362 0.794187 0.0133248 0.0102772 1.4286 0.0185208 0.0298989
0.231134 1.87572 0.0456938 0.0570101 0.778757 0.0125041 0.0103517 1.46073 0.0193465 0.0287715
0.308222 1.96142 0.0509795 0.053158 0.762253 0.0110048 0.0118781 1.4951 0.0247508 0.0271847
0.411021 2.03836 0.0685818 0.0466791 0.748021 0.0102835 0.0144314 1.52473 0.0276172 0.0245187
0.548105 2.10741 0.0913093 0.0397301 0.735693 0.00835836 0.0169889 1.55041 0.0370358 0.0206689
0.73091 2.16913 0.119766 0.041743 0.725015 0.00715595 0.0203052 1.57265 0.0464926 0.0211741
0.974684 2.17889 0.141704 0.0470686 0.723351 0.00659823 0.0245306 1.57611 0.0571336 0.0241044
1.29976 2.13091 0.151553 0.0465095 0.73159 0.00745332 0.0277801 1.55895 0.0631239 0.0258918
1.73326 2.03381 0.146629 0.0512226 0.748849 0.00784189 0.0269933 1.52302 0.0578477 0.0269897
2.31134 1.95887 0.128416 0.0580271 0.762734 0.00814664 0.0252066 1.4941 0.0503545 0.0288051
3.08222 1.85029 0.117285 0.0529932 0.783793 0.00733525 0.0239246 1.45024 0.0483408 0.0268712
4.11021 1.73532 0.102148 0.0364529 0.807408 0.00627482 0.0216192 1.40111 0.0452255 0.0225987
5.48105 1.66289 0.0779363 0.0316755 0.823009 0.00543022 0.01804 1.36857 0.0367157 0.0208989
7.3091 1.52426 0.0738533 0.0230163 0.854643 0.00409788 0.017557 1.3027 0.037938 0.0169781
9.74684 1.43141 0.069038 0.009588 0.877235 0.00103533 0.0174553 1.25569 0.0378362 0.0072757
