#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.27818 0.0367588 0.0547808 0.877222 0.0221323 0.023263 1.12124 0.00597417 0.0225977
0.0231134 1.29825 0.0452774 0.0502539 0.869517 0.0187341 0.0253715 1.12885 0.00760674 0.0204872
0.0308222 1.33784 0.0541108 0.0482122 0.854712 0.0172572 0.0296114 1.14347 0.008726 0.0199294
0.0411021 1.38083 0.0619799 0.0424373 0.839199 0.0143192 0.032429 1.15879 0.00956941 0.018186
0.0548105 1.43304 0.0738266 0.0390564 0.821099 0.0117015 0.0362382 1.17666 0.00976896 0.0173212
0.073091 1.49871 0.0878668 0.0330927 0.799409 0.00978547 0.039408 1.19808 0.0103617 0.0154231
0.0974684 1.56106 0.101187 0.0232482 0.779851 0.00692642 0.0432296 1.21739 0.0110692 0.0129638
0.129976 1.64741 0.113224 0.0160688 0.754295 0.00380892 0.0452338 1.24263 0.010466 0.011984
0.173326 1.74176 0.129728 0.0137548 0.728219 0.00189745 0.0475644 1.26838 0.0115159 0.0108939
0.231134 1.84745 0.136571 0.00974059 0.701069 0.00187474 0.0475064 1.29519 0.0115521 0.0136002
0.308222 1.96634 0.142779 0.0115876 0.672852 0.000161946 0.047212 1.32306 0.0118357 0.0158141
0.411021 2.10117 0.136264 0.0112438 0.643479 -0.000370145 0.0438998 1.35206 0.0117466 0.0203867
0.548105 2.22834 0.125859 0.0208721 0.618034 0.00156271 0.0401725 1.37719 0.0100276 0.0284287
0.73091 2.30621 0.0994236 0.0280321 0.603423 0.00114006 0.0331067 1.39162 0.00861025 0.0350384
0.974684 2.33053 0.0957563 0.049789 0.598999 0.00538296 0.0297953 1.39599 0.00879645 0.0390472
1.29976 2.32025 0.0822453 0.0674398 0.60086 0.00652027 0.0256683 1.39415 0.00799024 0.042733
1.73326 2.2825 0.0707612 0.0790334 0.607798 0.00807148 0.0230765 1.3873 0.00773025 0.0448815
2.31134 2.18323 0.0566359 0.0889156 0.626826 0.0107052 0.0209602 1.3685 0.00895131 0.0452108
3.08222 2.09379 0.0509715 0.0946847 0.64502 0.0127912 0.0175743 1.35054 0.00792897 0.0461909
4.11021 1.92948 0.0403632 0.0859072 0.681354 0.0137798 0.0158433 1.31466 0.00585723 0.0430357
5.48105 1.78833 0.0185586 0.0746757 0.716002 0.0133533 0.011404 1.28045 0.00259006 0.0396389
7.3091 1.63666 0.015429 0.0564202 0.757382 0.00972724 0.0114487 1.23958 0.0039016 0.0326147
9.74684 1.52875 0.0209084 0.0444949 0.789865 0.00839818 0.0128409 1.20751 0.00407803 0.0262588
