#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.21309 0.0142399 0.0385557 0.923577 0.0123252 0.00512791 1.12038 0.0073266 0.0238739
0.0231134 1.30035 0.00490797 0.0458125 0.89555 0.0168229 0.00640732 1.16453 0.00324523 0.0234119
0.0308222 1.29145 0.0286441 0.0262778 0.898329 0.00908309 0.0148126 1.16015 0.013422 0.0135531
0.0411021 1.33533 0.026044 0.0368168 0.884788 0.0125046 0.0138554 1.18148 0.00848293 0.019056
0.0548105 1.39416 0.0326104 0.0284945 0.867256 0.0111104 0.0159938 1.2091 0.0128202 0.0151188
0.073091 1.3757 0.0350046 0.0232629 0.872682 0.00894207 0.0167477 1.20055 0.0139885 0.013401
0.0974684 1.40093 0.0338196 0.0256883 0.865285 0.00999689 0.0164853 1.2122 0.0142604 0.0139865
0.129976 1.47471 0.0357453 0.0344986 0.844353 0.0122839 0.0169436 1.24517 0.0139977 0.0172458
0.173326 1.50139 0.0336115 0.0357972 0.83703 0.0122319 0.0163857 1.25671 0.0147642 0.020106
0.231134 1.52319 0.0354674 0.0326996 0.83114 0.0113023 0.0159273 1.26599 0.0170791 0.0196531
0.308222 1.54801 0.0327685 0.0364211 0.824535 0.0125083 0.0158101 1.27639 0.0160574 0.0211494
0.411021 1.59223 0.0399894 0.0306238 0.813026 0.0117992 0.0181231 1.29452 0.0195481 0.0179309
0.548105 1.65259 0.047094 0.0271116 0.797821 0.012396 0.0195209 1.31847 0.0208253 0.0161636
0.73091 1.73653 0.0595721 0.0181986 0.7776 0.0102723 0.0216354 1.35032 0.0241455 0.0178221
0.974684 1.80974 0.071961 0.0116005 0.76078 0.00800651 0.024492 1.37681 0.0307454 0.01579
1.29976 1.75615 0.0774994 0.00862932 0.773019 0.00689608 0.0241077 1.35754 0.0349493 0.0165086
1.73326 1.72698 0.0740811 0.00944149 0.779849 0.00763023 0.0241595 1.34678 0.0315604 0.013468
2.31134 1.57592 0.0794997 -0.000854969 0.817232 0.00501722 0.0249304 1.28789 0.0339272 0.00843716
3.08222 1.53297 0.0762138 -0.00269461 0.828523 0.00344712 0.0250237 1.2701 0.0343357 0.00287807
4.11021 1.55095 0.0664682 0.00319159 0.823762 0.0067122 0.0231071 1.27761 0.0272715 0.00790131
5.48105 1.50873 0.0614576 0 0.835029 0.00301635 0.0219826 1.25983 0.0276791 0.0074029
7.3091 1.47091 0.0499613 0.00875723 0.845404 0.00506806 0.0169837 1.24351 0.0248829 0.0105335
9.74684 1.28264 0.0666364 -0.0182153 0.901125 -0.00245333 0.0233424 1.15582 0.0338066 -0.00519466
