#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.20909 0.0218123 0.0353663 0.937513 0.0112565 0.00621724 1.13353 0.016981 0.0215894
0.0231134 1.26095 0.0330262 0.0356656 0.923203 0.0125424 0.00790578 1.16411 0.0210736 0.0207133
0.0308222 1.30965 0.0352859 0.034822 0.91016 0.0125091 0.00870651 1.19199 0.0237585 0.0186584
0.0411021 1.31917 0.0372741 0.0402597 0.907651 0.0149528 0.0093627 1.19735 0.0263146 0.0221392
0.0548105 1.36677 0.0496008 0.0287669 0.89532 0.012189 0.0130709 1.2237 0.0336927 0.0162388
0.073091 1.37657 0.052971 0.0265166 0.892824 0.0107753 0.0136117 1.22903 0.0367332 0.0137746
0.0974684 1.42275 0.0575047 0.0239677 0.881242 0.0114678 0.0136362 1.25378 0.038123 0.0155209
0.129976 1.47541 0.0605005 0.0292113 0.868394 0.012732 0.0140426 1.28124 0.0402803 0.0163931
0.173326 1.52133 0.0661277 0.0276294 0.857495 0.0126321 0.0144253 1.30453 0.0427226 0.0168681
0.231134 1.55213 0.0675284 0.0244566 0.850335 0.0128536 0.0136613 1.31983 0.0461743 0.0171926
0.308222 1.59075 0.0703378 0.0239373 0.841526 0.0130879 0.0143213 1.33866 0.048116 0.0158918
0.411021 1.65388 0.0740658 0.0215133 0.827511 0.0124348 0.0153236 1.36861 0.0496215 0.0142468
0.548105 1.73052 0.0807731 0.01586 0.811114 0.0126012 0.0165398 1.40365 0.0533853 0.0138247
0.73091 1.80594 0.0945979 0.00825334 0.795598 0.0106969 0.0189092 1.4368 0.0667014 0.0106537
0.974684 1.84763 0.12339 0.000846863 0.787275 0.00795817 0.0203182 1.4546 0.0810416 0.00840223
1.29976 1.80117 0.120378 0.00133884 0.796562 0.00739485 0.0199147 1.43474 0.0785316 0.00941753
1.73326 1.77446 0.123821 -0.000443339 0.802 0.00729388 0.0224706 1.42311 0.0787781 0.00684857
2.31134 1.65346 0.122606 -0.00874126 0.827604 0.00417727 0.0225218 1.36841 0.0776269 0.00163794
3.08222 1.58947 0.099907 -0.00558662 0.841821 0.0039674 0.0175849 1.33805 0.0680416 0.00131667
4.11021 1.53253 0.0725969 -0.00220227 0.854871 0.0048967 0.0138362 1.31011 0.0561786 0.00523055
5.48105 1.42864 0.0805931 -0.0118796 0.879778 0.00166273 0.0173382 1.25689 0.0569592 -0.00309646
7.3091 1.38306 0.0547107 -0.00717175 0.891183 0.00377089 0.0125087 1.23256 0.0422446 -0.00235236
9.74684 1.29199 0.0372865 0 0.914842 0.00601256 0.0116073 1.18197 0.0255949 -0.000434637
