#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.191 0.0525172 0.0375054 0.89276 0.0169272 0.0403031 1.06328 0.000174522 0.016053
0.0231134 1.23314 0.0536052 0.046774 0.872123 0.0202361 0.0407135 1.07545 -0.0017693 0.0187345
0.0308222 1.2543 0.0669962 0.0424753 0.862117 0.0179954 0.046461 1.08136 0.000703454 0.0180389
0.0411021 1.29143 0.0716847 0.0412053 0.845104 0.0159985 0.048737 1.09139 -7.76052e-05 0.0191267
0.0548105 1.33328 0.0901005 0.0350076 0.826715 0.0125917 0.0563606 1.10224 0.000382423 0.0195539
0.073091 1.38368 0.0986973 0.030986 0.805605 0.00937802 0.0593628 1.1147 0.000593901 0.0201555
0.0974684 1.43516 0.112433 0.0255274 0.785128 0.00658101 0.0649308 1.12678 0.000847101 0.0205925
0.129976 1.50561 0.125354 0.0238768 0.758731 0.00379294 0.0675465 1.14236 0.000121713 0.0231159
0.173326 1.58174 0.136837 0.0218433 0.732135 0.00318819 0.0678426 1.15805 -0.000722408 0.0267103
0.231134 1.67005 0.145844 0.0244465 0.703528 0.00440294 0.0672568 1.17493 -0.00138891 0.0321107
0.308222 1.77869 0.145969 0.0285935 0.671262 0.00372815 0.065277 1.19397 -0.00139749 0.0389014
0.411021 1.90348 0.152419 0.0281801 0.637667 0.00107801 0.0633559 1.21379 0.000915885 0.0465691
0.548105 2.04517 0.145053 0.0345378 0.603381 0.00505853 0.0583403 1.23402 -0.00134611 0.0558785
0.73091 2.15522 0.133784 0.0471776 0.579194 0.00402415 0.0540876 1.24829 -0.000114083 0.0624043
0.974684 2.22261 0.126315 0.0478728 0.565315 0.00286102 0.0488226 1.25648 0 0.0666566
1.29976 2.28668 0.122172 0.064558 0.552725 0.00598413 0.0460666 1.26391 -0.000229001 0.0710511
1.73326 2.30031 0.113712 0.0742667 0.550119 0.0060758 0.0426768 1.26545 0 0.0735881
2.31134 2.24342 0.102024 0.0801411 0.561165 0.00763905 0.0420176 1.25893 0.00216806 0.0730684
3.08222 2.14915 0.0966668 0.0768156 0.580478 0.00744253 0.0417672 1.24753 0.000803471 0.0690856
4.11021 2.00769 0.0831964 0.0697273 0.612089 0.0112203 0.0418277 1.22888 -0.00154483 0.0650116
5.48105 1.8074 0.0856932 0.0444093 0.663224 0.00481772 0.0461255 1.19871 0.000130415 0.0512873
7.3091 1.69659 0.082954 0.0222211 0.695364 0.0011999 0.0485995 1.17975 0.00273919 0.0428377
9.74684 1.53377 0.0926502 0.0123168 0.74868 0 0.0506585 1.14831 0.00534654 0.030203
