#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.26554 0.00327039 0.0591255 0.904736 0.0205682 0.0033499 1.14498 -0.000579 0.0292066
0.0231134 1.33114 0.00802624 0.0563709 0.883932 0.018932 0.00707203 1.17664 0.00155187 0.0264839
0.0308222 1.36054 0.0153445 0.0547867 0.874917 0.0183641 0.0083701 1.19036 0.00385332 0.0250894
0.0411021 1.39939 0.00924647 0.0579411 0.863282 0.0190632 0.00690341 1.20806 0.00166404 0.0260845
0.0548105 1.4487 0.0197699 0.0535825 0.848951 0.0169947 0.010138 1.22987 0.00487173 0.0227463
0.073091 1.50554 0.0192802 0.0565755 0.83301 0.0170341 0.00980353 1.25413 0.00453889 0.0231042
0.0974684 1.57004 0.0227308 0.051494 0.815635 0.0159777 0.0101977 1.28058 0.00544739 0.0211146
0.129976 1.64474 0.0267427 0.0491593 0.796394 0.0155954 0.0110971 1.30986 0.00552094 0.0206282
0.173326 1.70966 0.0302916 0.044938 0.780393 0.0140602 0.0128962 1.33421 0.00705767 0.0184141
0.231134 1.77799 0.0331482 0.0407832 0.764235 0.0129369 0.01288 1.3588 0.00785518 0.0175607
0.308222 1.86113 0.0486726 0.0356017 0.745454 0.0113154 0.014922 1.38738 0.0129958 0.0162215
0.411021 1.93451 0.0581419 0.0306578 0.729627 0.0106431 0.0170288 1.41147 0.0176963 0.0158563
0.548105 2.01937 0.0774174 0.0300342 0.712142 0.0103555 0.0208932 1.43808 0.0237819 0.015406
0.73091 2.10435 0.0992126 0.0305712 0.695453 0.00814044 0.0230342 1.46348 0.0294914 0.0156513
0.974684 2.14358 0.128619 0.0278604 0.688009 0.00581741 0.0261869 1.4748 0.0386513 0.0172558
1.29976 2.10024 0.142614 0.0306764 0.69624 0.00412053 0.0290073 1.46227 0.0402355 0.0179911
1.73326 2.03238 0.141984 0.027864 0.709534 0.00438851 0.0292982 1.44204 0.0429026 0.0172805
2.31134 1.95525 0.132449 0.0335555 0.725273 0.00534397 0.0283627 1.41809 0.0409904 0.0178965
3.08222 1.81695 0.125123 0.0275019 0.755313 0.00401372 0.0286835 1.37236 0.0418355 0.0152204
4.11021 1.68754 0.0892023 0.0249457 0.785775 0.00413978 0.0233182 1.32602 0.0337003 0.0148933
5.48105 1.6463 0.0474581 0.0290335 0.795999 0.00690031 0.014107 1.31045 0.0187725 0.0173446
7.3091 1.51093 0.0450749 0.0281745 0.831536 0.00587147 0.0133078 1.25639 0.017953 0.0158663
9.74684 1.43342 0.0432336 0.0153258 0.853345 0.00315952 0.0147257 1.2232 0.0198176 0.00848436
