#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.23827 0.0341214 0.0419816 0.87175 0.0201761 0.0266287 1.07946 -0.000184178 0.0143255
0.0231134 1.25096 0.0429496 0.0382887 0.865835 0.0171414 0.0295957 1.08312 0.000491023 0.0134455
0.0308222 1.27877 0.0511531 0.0333736 0.853151 0.0153991 0.0333776 1.09098 0.00133193 0.0130923
0.0411021 1.31834 0.0571357 0.0308728 0.83573 0.0140217 0.0366448 1.10178 0.00154722 0.0136554
0.0548105 1.36077 0.067489 0.0263196 0.817823 0.0106447 0.04083 1.11287 0.00254035 0.013083
0.073091 1.41749 0.0792371 0.0265443 0.795051 0.00958812 0.0444968 1.12698 0.00210261 0.0135795
0.0974684 1.47573 0.0876843 0.0213718 0.772953 0.00819463 0.0475039 1.14067 0.00236392 0.0137876
0.129976 1.54697 0.098074 0.0175624 0.747538 0.00723523 0.0497417 1.15642 0.00246501 0.0154068
0.173326 1.61981 0.1162 0.0134358 0.723221 0.00512618 0.0538545 1.17148 0.00360405 0.0166639
0.231134 1.70932 0.124938 0.00842631 0.695425 0.00319868 0.0534961 1.1887 0.00350714 0.0197905
0.308222 1.80903 0.131343 0.00839269 0.666873 0.00260878 0.0536578 1.20639 0.00454307 0.0238695
0.411021 1.93061 0.143911 0.00408602 0.63508 0.000183821 0.0540348 1.22609 0.00499821 0.0288424
0.548105 2.04725 0.148858 0.0032208 0.607303 0.00110835 0.0526039 1.2433 0.00496864 0.0328994
0.73091 2.16592 0.126999 0.00827336 0.581431 0.00248986 0.0463932 1.25933 0.00575244 0.0392799
0.974684 2.26003 0.0924497 0.0335028 0.562429 0.00449866 0.0372393 1.2711 0.00429606 0.0461642
1.29976 2.30103 0.0696645 0.0552416 0.554533 0.00833005 0.0321057 1.276 0.00200307 0.0512098
1.73326 2.31674 0.0711598 0.0637801 0.551565 0.0108544 0.0313568 1.27783 0.00211585 0.0535915
2.31134 2.28026 0.050431 0.0965779 0.558504 0.0142187 0.0246879 1.27353 0.000633717 0.0567423
3.08222 2.16817 0.0543776 0.0888348 0.58096 0.0149724 0.0249697 1.25962 0.0011549 0.0530005
4.11021 1.98212 0.0323994 0.0851901 0.622507 0.0170814 0.0218349 1.23388 0 0.049296
5.48105 1.79475 0.00393057 0.084469 0.670817 0.02044 0.0147536 1.20395 -0.00335145 0.0455712
7.3091 1.66666 0.0222249 0.05285 0.708404 0.0119598 0.0179662 1.18067 0.000101328 0.0361772
9.74684 1.5169 0.0401779 0.027838 0.758056 0.00506705 0.0260316 1.14989 0.00372112 0.0268379
