#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>9.8
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.24604 0.0564942 0.0463715 0.94307 0.0116151 0.00651681 1.1751 0.0456725 0.0293376
0.0231134 1.29883 0.0535553 0.0488466 0.93169 0.013478 0.00508648 1.2101 0.0458622 0.0307617
0.0308222 1.33438 0.0690045 0.0424626 0.924179 0.0125301 0.00722009 1.23321 0.059302 0.0259153
0.0411021 1.36761 0.0713494 0.05601 0.917267 0.0150035 0.0075739 1.25447 0.061067 0.0343623
0.0548105 1.42177 0.083989 0.0448927 0.906222 0.0136797 0.00833881 1.28844 0.0715678 0.0273938
0.073091 1.44019 0.0950301 0.0373513 0.902527 0.0117915 0.00905466 1.29981 0.081997 0.0232087
0.0974684 1.49982 0.101785 0.0317403 0.890764 0.010773 0.0102929 1.33598 0.0873618 0.0211017
0.129976 1.5492 0.101058 0.03415 0.881253 0.0120265 0.0104903 1.36524 0.0899885 0.0225368
0.173326 1.60359 0.108767 0.0316185 0.871009 0.0120573 0.0104597 1.39675 0.0953159 0.0232061
0.231134 1.65222 0.122238 0.0265255 0.862051 0.0116167 0.0105295 1.4243 0.10228 0.0188829
0.308222 1.71111 0.113696 0.0276251 0.851447 0.0125245 0.00999212 1.45692 0.0979681 0.0189661
0.411021 1.78437 0.126255 0.0191287 0.838613 0.0131345 0.0123305 1.49639 0.105147 0.0146143
0.548105 1.86215 0.1433 0.0110825 0.825402 0.0130643 0.0142335 1.53702 0.114099 0.0116642
0.73091 1.93437 0.155868 0.00852311 0.813505 0.0127644 0.0153288 1.57362 0.120789 0.0106932
0.974684 1.93924 0.180043 -0.00583303 0.812714 0.0107611 0.0173679 1.57605 0.130118 0.00600564
1.29976 1.88521 0.176472 -0.00291753 0.821564 0.0101373 0.0180199 1.54882 0.129563 0.0039829
1.73326 1.84557 0.162338 -0.00197613 0.828186 0.0113897 0.017763 1.52847 0.123067 0.00438726
2.31134 1.73126 0.143981 -0.00647151 0.847875 0.0100045 0.017079 1.46789 0.107485 0.00747907
3.08222 1.64264 0.14289 -0.00497532 0.863801 0.00704527 0.0163062 1.41891 0.110828 0.00413203
4.11021 1.54529 0.115655 -0.0110121 0.88199 0.00570822 0.0137014 1.36293 0.0931612 -0.00244117
5.48105 1.49612 0.103269 -0.00828683 0.891471 0.00517523 0.0136521 1.33375 0.085573 -0.00208199
7.3091 1.42722 0.0800494 -0.00369573 0.905121 0.00601083 0.0108331 1.29181 0.0659026 -0.00210071
9.74684 1.33159 0.0522325 -0.00119722 0.924748 0.00661558 0.00883216 1.23138 0.0437077 -1.83582e-05
