#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.28827 0.00523984 0.0515848 0.88401 0.0195655 0.00297552 1.13884 0.00210571 0.0231091
0.0231134 1.3452 0.00613523 0.0544372 0.864213 0.0202118 0.00329816 1.16254 0.00251639 0.0230832
0.0308222 1.39822 0.00681829 0.051767 0.846556 0.0188602 0.00428152 1.18367 0.00240993 0.0204275
0.0411021 1.43272 0.0124651 0.0459607 0.835451 0.0168103 0.00616932 1.19697 0.0037545 0.0181419
0.0548105 1.50046 0.0151938 0.0445454 0.81447 0.0157891 0.00638366 1.22208 0.00320196 0.0156573
0.073091 1.56532 0.0172695 0.0413806 0.795347 0.0145177 0.00725329 1.24497 0.00438261 0.0138735
0.0974684 1.63773 0.0229224 0.0368168 0.775031 0.0129439 0.00859809 1.26929 0.00562823 0.0123576
0.129976 1.70509 0.0272417 0.0307491 0.757041 0.0109501 0.00964606 1.29082 0.00787032 0.0103182
0.173326 1.79345 0.0294772 0.0284898 0.734673 0.00978136 0.0111119 1.3176 0.00889969 0.00916576
0.231134 1.88136 0.0362923 0.0270846 0.713692 0.00872433 0.0122827 1.34271 0.0108677 0.00896871
0.308222 1.97459 0.0472015 0.020816 0.692712 0.00749964 0.0137061 1.36783 0.0137304 0.00923157
0.411021 2.07268 0.0591254 0.0190685 0.671933 0.00686938 0.0149755 1.3927 0.0155003 0.0099026
0.548105 2.15129 0.08307 0.018852 0.656154 0.00524038 0.0186357 1.41158 0.0210471 0.0104058
0.73091 2.22911 0.0965395 0.0234449 0.641251 0.006163 0.0199122 1.42942 0.0247656 0.0131606
0.974684 2.27373 0.107406 0.0422339 0.63301 0.00852662 0.0204971 1.43929 0.0265154 0.0173651
1.29976 2.23078 0.118802 0.0487545 0.640941 0.00935251 0.0234401 1.4298 0.0284095 0.0166514
1.73326 2.18934 0.123579 0.0508254 0.648786 0.0110604 0.0248832 1.42041 0.0309651 0.0177078
2.31134 2.08862 0.116511 0.052752 0.668672 0.0111445 0.0251948 1.3966 0.0314802 0.0176901
3.08222 1.97764 0.0969667 0.0526111 0.692047 0.0129316 0.0231302 1.36862 0.0291162 0.0178328
4.11021 1.82047 0.0874202 0.0401362 0.728093 0.0103698 0.0223859 1.32547 0.0284616 0.0146906
5.48105 1.66594 0.0843661 0.0240521 0.767397 0.0060485 0.0239269 1.27844 0.0292648 0.00902927
7.3091 1.5646 0.0609727 0.0216167 0.795553 0.00663424 0.0189764 1.24472 0.0222863 0.0100305
9.74684 1.46025 0.0521666 0.0184708 0.826794 0.0050571 0.0166935 1.20732 0.0224347 0.00861192
