#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>9.8
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1.34038 0.00896287 0.0690912 0.889006 0.0207974 0.00201428 1.1916 0.00369227 0.0359385
0.0231134 1.41151 0.0101517 0.067013 0.868854 0.0193501 0.0028739 1.22639 0.00419056 0.0341252
0.0308222 1.47142 0.011018 0.0655119 0.852573 0.0188202 0.00307959 1.2545 0.00424552 0.0318019
0.0411021 1.52309 0.0152513 0.0629576 0.839017 0.0178422 0.00452393 1.2779 0.00701201 0.0301211
0.0548105 1.58988 0.0187885 0.0568206 0.822118 0.0155212 0.00589883 1.30707 0.00854492 0.0253806
0.073091 1.66584 0.0238036 0.0506399 0.803707 0.0135019 0.00661904 1.33885 0.00999331 0.021786
0.0974684 1.75111 0.028616 0.0458231 0.784001 0.0122983 0.0075624 1.37287 0.0121253 0.019976
0.129976 1.82895 0.0344259 0.0399845 0.766835 0.010044 0.00820661 1.4025 0.0137286 0.0175121
0.173326 1.92789 0.0345961 0.0396763 0.746072 0.00957066 0.0092724 1.43835 0.0152483 0.0179609
0.231134 2.02034 0.0415726 0.0380584 0.727661 0.00856292 0.00987953 1.47012 0.0179324 0.0182097
0.308222 2.11201 0.0506845 0.0320425 0.710283 0.00744593 0.0115813 1.50013 0.0216359 0.0176423
0.411021 2.20508 0.0608032 0.0381343 0.693467 0.00727761 0.0121318 1.52915 0.0227931 0.018751
0.548105 2.2797 0.0781114 0.0462317 0.68055 0.00830686 0.0138902 1.55145 0.0262671 0.019623
0.73091 2.3163 0.0891185 0.0588689 0.674388 0.0104709 0.0161697 1.56209 0.0295666 0.0248468
0.974684 2.32427 0.102657 0.0782552 0.673063 0.011874 0.0195199 1.56438 0.0341545 0.0261179
1.29976 2.25376 0.109084 0.082062 0.684987 0.0131464 0.0209693 1.5438 0.0368963 0.0281922
1.73326 2.16981 0.106654 0.0808327 0.699745 0.0137911 0.0200844 1.51832 0.0370582 0.0305564
2.31134 2.07199 0.0945904 0.0836949 0.717766 0.014833 0.0180244 1.4872 0.0338207 0.0323429
3.08222 1.95172 0.0769585 0.0759022 0.741239 0.0149056 0.0166283 1.44669 0.0293535 0.0302162
4.11021 1.80731 0.0725616 0.0580169 0.771529 0.0125918 0.0169103 1.39439 0.0291483 0.0236939
5.48105 1.67917 0.0647665 0.0468684 0.800569 0.00959969 0.0157839 1.34429 0.0286388 0.020695
7.3091 1.57604 0.0541457 0.0372524 0.825563 0.00909662 0.0136133 1.30112 0.0237968 0.0176688
9.74684 1.473 0.0510427 0.0267373 0.852154 0.00626498 0.0130928 1.25522 0.023882 0.0140877
