#type: correlation
#pca: yes
#zlow: 0.2
#zhigh: 0.7
#ref: https://arxiv.org/abs/1609.09090
s 10.5 11.0 0.10000 0.15849 2.35100 0.04541 0.04541
q 10.5 11.0 0.10000 0.15849 2.81079 0.03012 0.03012
s 10.5 11.0 0.15849 0.25119 1.94822 0.04323 0.04323
q 10.5 11.0 0.15849 0.25119 2.69663 0.05163 0.05163
s 10.5 11.0 0.25119 0.39811 1.95228 0.04131 0.04131
q 10.5 11.0 0.25119 0.39811 2.50741 0.04172 0.04172
s 10.5 11.0 0.39811 0.63096 1.80602 0.06348 0.06348
q 10.5 11.0 0.39811 0.63096 2.41296 0.06147 0.06147
s 10.5 11.0 0.63096 1.00000 1.58106 0.04816 0.04816
q 10.5 11.0 0.63096 1.00000 2.14644 0.05123 0.05123
s 10.5 11.0 1.00000 1.58489 1.47409 0.02822 0.02822
q 10.5 11.0 1.00000 1.58489 1.89380 0.05367 0.05367
s 10.5 11.0 1.58489 2.51189 1.42996 0.01879 0.01879
q 10.5 11.0 1.58489 2.51189 1.68584 0.01995 0.01995
s 10.5 11.0 2.51189 3.98107 1.31198 0.03046 0.03046
q 10.5 11.0 2.51189 3.98107 1.56954 0.02213 0.02213
s 10.5 11.0 3.98107 6.30957 1.12797 0.03629 0.03629
q 10.5 11.0 3.98107 6.30957 1.43274 0.02173 0.02173
s 10.5 11.0 6.30957 10.00000 0.93147 0.06811 0.06811
q 10.5 11.0 6.30957 10.00000 1.23448 0.04538 0.04538
