#type: correlation
#pca: yes
#zlow: 0.090000
#zhigh: 0.120121
#ref: Behroozi, Wechsler, Hearin, Conroy (2019); https://arxiv.org/abs/1806.07893
#note: Errors increased by sqrt(2) to account for limited volume of Bolshoi-Planck.
a 11 13. 0.15849 0.25119 2.71540 0.036953400384809 0.036953400384809
s 11 13. 0.15849 0.25119 2.40419 0.162832549571638 0.162832549571638
q 11 13. 0.15849 0.25119 2.80652 0.0367695526217005 0.0367695526217005
a 11 13. 0.25119 0.39811 2.55104 0.0389615836433788 0.0389615836433788
s 11 13. 0.25119 0.39811 2.30550 0.121127391617256 0.121127391617256
q 11 13. 0.25119 0.39811 2.62536 0.0412526096144232 0.0412526096144232
a 11 13. 0.39811 0.63096 2.32237 0.0336017142419847 0.0336017142419847
s 11 13. 0.39811 0.63096 1.93573 0.123630549622656 0.123630549622656
q 11 13. 0.39811 0.63096 2.40097 0.041365746699413 0.041365746699413
a 11 13. 0.63096 1.00000 2.16139 0.0338421305475882 0.0338421305475882
s 11 13. 0.63096 1.00000 1.96863 0.0812182848870869 0.0812182848870869
q 11 13. 0.63096 1.00000 2.22538 0.0379857762853413 0.0379857762853413
a 11 13. 1.00000 1.58489 1.97667 0.0366139891298394 0.0366139891298394
s 11 13. 1.00000 1.58489 1.70620 0.0936916485072176 0.0936916485072176
q 11 13. 1.00000 1.58489 2.02813 0.0379292077428464 0.0379292077428464
a 11 13. 1.58489 2.51189 1.79799 0.0372221009616599 0.0372221009616599
s 11 13. 1.58489 2.51189 1.52181 0.0932956687097531 0.0932956687097531
q 11 13. 1.58489 2.51189 1.84645 0.0391878578133585 0.0391878578133585
a 11 13. 2.51189 3.98107 1.66377 0.0424546911424403 0.0424546911424403
s 11 13. 2.51189 3.98107 1.51871 0.070696535983031 0.070696535983031
q 11 13. 2.51189 3.98107 1.70114 0.042525401820559 0.042525401820559
a 11 13. 3.98107 6.30957 1.49852 0.0479418397644479 0.0479418397644479
s 11 13. 3.98107 6.30957 1.35039 0.0722945973085126 0.0722945973085126
q 11 13. 3.98107 6.30957 1.53473 0.0506147033973331 0.0506147033973331
a 11 13. 6.30957 10.00000 1.28823 0.0618859854894466 0.0618859854894466
s 11 13. 6.30957 10.00000 1.17830 0.060867751724538 0.060867751724538
q 11 13. 6.30957 10.00000 1.31875 0.0635830417642944 0.0635830417642944
