#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 26199
9.00 0 0 0 8.875 9.125 46749
9.25 0 4.53618e-06 0 9.125 9.375 220348
9.50 7.33739e-05 0.000183115 -2.95768e-08 9.375 9.625 804101
9.75 0.00107092 0.00250464 -8.90577e-08 9.625 9.875 2.20278e+06
10.00 0.00173727 0.00444582 3.77072e-05 9.875 10.125 3.3213e+06
10.25 0.00241847 0.00450697 0.000525029 10.125 10.375 2.41847e+06
10.50 0.00567958 0.00476023 0.00176563 10.375 10.625 1.52265e+06
10.75 0.0167537 0.0103766 0.00471566 10.625 10.875 945046
11.00 0.0415344 0.0179558 0.0106888 10.875 11.125 582192
11.25 0.0908694 0.024037 0.0249474 11.125 11.375 345496
11.50 0.179445 0.0287824 0.0429961 11.375 11.625 203907
11.75 0.318932 0.0230709 0.0664885 11.625 11.875 120217
12.00 0.48083 0.0156942 0.0713307 11.875 12.125 70320
12.25 0.628422 0.00603724 0.059832 12.125 12.375 40947
12.50 0.698662 0.0101687 0.0463945 12.375 12.625 23462
12.75 0.699436 0.0175713 0.0465718 12.625 12.875 13478
13.00 0.633729 0.0379657 0.0746891 12.875 13.125 7489
13.25 0.537856 0.0452095 0.0836217 13.125 13.375 4068
13.50 0.408471 0.0484985 0.0733995 13.375 13.625 2125
13.75 0.329245 0.0506218 0.0662368 13.625 13.875 1060
14.00 0.26626 0.0258291 0.0560561 13.875 14.125 492
14.25 0.224299 0.0373832 0.0365056 14.125 14.375 214
14.50 0.145833 0.0416667 0.0208333 14.375 14.625 48
14.75 0.263158 0.0526316 0 14.625 14.875 19
15.00 0 0 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
