#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 4.68494e-05 0 8.625 8.875 42688
9.00 1.50015e-05 3.00023e-05 1.50015e-05 8.875 9.125 66660
9.25 4.51036e-05 6.76198e-05 3.00775e-05 9.125 9.375 266054
9.50 0.000461797 0.000285207 0.000376031 9.375 9.625 764405
9.75 0.00518925 0.00210257 0.00297998 9.625 9.875 1.84844e+06
10.00 0.00911374 0.00339455 0.00494234 9.875 10.125 2.82771e+06
10.25 0.0158238 0.00478555 0.00942612 10.125 10.375 2.19681e+06
10.50 0.031888 0.00575216 0.0174681 10.375 10.625 1.41298e+06
10.75 0.0678325 0.00628081 0.0280433 10.625 10.875 883647
11.00 0.129556 0.00916024 0.0411905 10.875 11.125 546931
11.25 0.2245 0.00725892 0.0586866 11.125 11.375 331279
11.50 0.364965 0.00443369 0.0741848 11.375 11.625 198685
11.75 0.534294 0.00496566 0.0776041 11.625 11.875 118710
12.00 0.694729 0.00221711 0.0656909 11.875 12.125 70295
12.25 0.812694 -0.000402272 0.0444015 12.125 12.375 41451
12.50 0.861578 -0.00213021 0.0350764 12.375 12.625 24512
12.75 0.857916 0.00219893 0.0398471 12.625 12.875 14407
13.00 0.799394 0.00942433 0.0575235 12.875 13.125 8250
13.25 0.717655 0.00732356 0.0757802 13.125 13.375 4622
13.50 0.597571 0.018819 0.0854818 13.375 13.625 2552
13.75 0.490014 0.0277522 0.0898711 13.625 13.875 1402
14.00 0.398519 0.00796157 0.0932554 13.875 14.125 675
14.25 0.361272 -0.00207627 0.100402 14.125 14.375 346
14.50 0.338346 0.0225564 0.075188 14.375 14.625 133
14.75 0.305085 0 0.0847457 14.625 14.875 59
15.00 0.285714 0 0.142857 14.875 15.125 7
15.25 0.5 -0.5 0.5 15.125 15.375 2
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
