#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 101840
9.00 0 0 0 8.875 9.125 172631
9.25 0 0 0 9.125 9.375 695762
9.50 1.72522e-06 8.60656e-06 8.63705e-07 9.375 9.625 2.31855e+06
9.75 8.96535e-06 5.00623e-05 1.85207e-06 9.625 9.875 4.46162e+06
10.00 1.06772e-05 0.00011036 -7.74671e-08 9.875 10.125 4.02727e+06
10.25 4.55812e-06 9.0347e-05 7.06964e-08 10.125 10.375 2.63266e+06
10.50 3.07903e-06 4.39043e-05 0 10.375 10.625 1.62389e+06
10.75 1.34608e-05 9.03334e-05 1.24287e-05 10.625 10.875 965768
11.00 0.000112137 0.000391311 0.000110315 10.875 11.125 535059
11.25 0.000662105 0.00118088 0.00065541 11.125 11.375 293005
11.50 0.00222906 0.00304133 0.00212933 11.375 11.625 159260
11.75 0.00710167 0.00660734 0.0066993 11.625 11.875 85332
12.00 0.0213485 0.0123992 0.0189457 11.875 12.125 44359
12.25 0.0423179 0.017564 0.0326956 12.125 12.375 22331
12.50 0.0737362 0.0279761 0.0517306 12.375 12.625 10741
12.75 0.0872593 0.0245788 0.0573597 12.625 12.875 4882
13.00 0.0847794 0.0297472 0.055528 12.875 13.125 2017
13.25 0.0581242 0.0237781 0.0383091 13.125 13.375 757
13.50 0.056 0.012 0.036 13.375 13.625 250
13.75 0.0327869 0.0491803 0 13.625 13.875 61
14.00 0 0 0 13.875 14.125 6
14.25 0 0 0 14.125 14.375 1
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
