#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 3.78e-05 0 8.625 8.875 26455
9.00 2.15248e-05 0 2.15248e-05 8.875 9.125 46458
9.25 9.28303e-06 9.27458e-06 4.64261e-06 9.125 9.375 215447
9.50 9.62086e-05 0.000153879 2.21838e-05 9.375 9.625 769162
9.75 0.00137583 0.00233536 7.81051e-05 9.625 9.875 2.08383e+06
10.00 0.00241717 0.00444135 0.000319445 9.875 10.125 3.19093e+06
10.25 0.00375726 0.00456198 0.00109284 10.125 10.375 2.36395e+06
10.50 0.00877721 0.00508265 0.00289075 10.375 10.625 1.49580e+06
10.75 0.023961 0.0106143 0.00682024 10.625 10.875 930094
11.00 0.0563341 0.0180657 0.0146396 10.875 11.125 574483
11.25 0.115009 0.0218435 0.0293722 11.125 11.375 343008
11.50 0.217442 0.0267833 0.0496571 11.375 11.625 203401
11.75 0.36768 0.0209183 0.0691927 11.625 11.875 120224
12.00 0.533848 0.0157782 0.0678073 11.875 12.125 70595
12.25 0.676682 0.00641513 0.0553612 12.125 12.375 41235
12.50 0.745415 0.00750881 0.0407727 12.375 12.625 23937
12.75 0.741544 0.0122433 0.0465472 12.625 12.875 13689
13.00 0.677979 0.0338634 0.0644364 12.875 13.125 7779
13.25 0.580075 0.0359284 0.0828089 13.125 13.375 4246
13.50 0.463813 0.0436629 0.0771759 13.375 13.625 2266
13.75 0.354474 0.0507205 0.0652758 13.625 13.875 1151
14.00 0.283333 0.0264997 0.0606988 13.875 14.125 540
14.25 0.260163 0.0261445 0.0569106 14.125 14.375 246
14.50 0.19403 0.0597015 0 14.375 14.625 67
14.75 0.269231 0.0384615 0 14.625 14.875 26
15.00 0 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
