#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 3.1508e-05 0 8.625 8.875 31738
9.00 0 0 0 8.875 9.125 52839
9.25 1.30609e-05 1.30522e-05 4.35688e-06 9.125 9.375 229694
9.50 0.000170374 0.000112289 8.68003e-05 9.375 9.625 751287
9.75 0.00251358 0.0016924 0.000781617 9.625 9.875 1.95498e+06
10.00 0.00451212 0.00318445 0.00152817 9.875 10.125 3.00014e+06
10.25 0.00759688 0.00376413 0.00331637 10.125 10.375 2.2816e+06
10.50 0.0165726 0.00413949 0.00679194 10.375 10.625 1.4559e+06
10.75 0.040505 0.00720995 0.0130373 10.625 10.875 907665
11.00 0.0861552 0.0137557 0.0228296 10.875 11.125 562044
11.25 0.161691 0.0174187 0.039417 11.125 11.375 337812
11.50 0.284279 0.0188684 0.0583867 11.375 11.625 201411
11.75 0.445412 0.0140429 0.0728104 11.625 11.875 119981
12.00 0.614036 0.0117623 0.0682901 11.875 12.125 70662
12.25 0.744471 0.0050419 0.0480778 12.125 12.375 41467
12.50 0.806297 0.00123453 0.0361707 12.375 12.625 24233
12.75 0.804528 0.00578773 0.0407035 12.625 12.875 14222
13.00 0.742069 0.0187539 0.0579686 12.875 13.125 7975
13.25 0.651401 0.0244015 0.0775319 13.125 13.375 4498
13.50 0.52623 0.0287767 0.0733531 13.375 13.625 2440
13.75 0.415605 0.0381429 0.0769213 13.625 13.875 1256
14.00 0.331707 0.0169015 0.0812982 13.875 14.125 615
14.25 0.268707 0.0258131 0.0536904 14.125 14.375 294
14.50 0.336538 0.0288461 0.0480769 14.375 14.625 104
14.75 0.225 0.025 0.025 14.625 14.875 40
15.00 0.333333 0 0 14.875 15.125 3
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
