#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 28291
9.00 0 0 0 8.875 9.125 50093
9.25 0 4.19421e-06 0 9.125 9.375 238383
9.50 6.29824e-05 0.000197828 -4.37003e-06 9.375 9.625 905015
9.75 0.000739241 0.00267662 -5.97046e-05 9.625 9.875 2.52827e+06
10.00 0.00105663 0.00405158 -8.90349e-05 9.875 10.125 3.53673e+06
10.25 0.00105505 0.00347124 1.33909e-05 10.125 10.375 2.51646e+06
10.50 0.00238179 0.00350412 0.000607262 10.375 10.625 1.57235e+06
10.75 0.00772932 0.0076362 0.00240754 10.625 10.875 971366
11.00 0.0217755 0.0145872 0.00694292 10.875 11.125 593373
11.25 0.0534774 0.0218605 0.0164809 11.125 11.375 347511
11.50 0.118629 0.0253574 0.0345256 11.375 11.625 204242
11.75 0.22862 0.0242043 0.0576398 11.625 11.875 118826
12.00 0.375052 0.0165421 0.0695848 11.875 12.125 69113
12.25 0.516691 0.0114129 0.0664761 12.125 12.375 39842
12.50 0.599508 0.0132027 0.0539649 12.375 12.625 22380
12.75 0.604795 0.0216311 0.0608335 12.625 12.875 12596
13.00 0.532869 0.0461319 0.0776342 12.875 13.125 6891
13.25 0.446915 0.0469841 0.0896323 13.125 13.375 3598
13.50 0.330411 0.051168 0.0757252 13.375 13.625 1825
13.75 0.248588 0.0506161 0.0595215 13.625 13.875 885
14.00 0.225895 0.0234122 0.0541502 13.875 14.125 363
14.25 0.204225 0.0211268 0.0422535 14.125 14.375 142
14.50 0.121212 0.0606061 0 14.375 14.625 33
14.75 0.142857 0.142857 0 14.625 14.875 7
15.00 0 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
