#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 39946
9.00 0 0 0 8.875 9.125 72257
9.25 2.92228e-06 2.92148e-06 1.29739e-09 9.125 9.375 342198
9.50 4.22982e-05 0.000199859 3.77963e-06 9.375 9.625 1.37122e+06
9.75 0.000353559 0.00170168 1.52e-05 9.625 9.875 3.37709e+06
10.00 0.000459878 0.00274664 -2.01407e-06 9.875 10.125 3.92278e+06
10.25 0.000223107 0.00186539 -2.6015e-05 10.125 10.375 2.68033e+06
10.50 0.000294661 0.00108562 4.18348e-05 10.375 10.625 1.65614e+06
10.75 0.00128327 0.00251045 0.000849962 10.625 10.875 1.01694e+06
11.00 0.00440523 0.00576698 0.00273563 10.875 11.125 598833
11.25 0.0139441 0.00936008 0.00781615 11.125 11.375 343083
11.50 0.0386445 0.0130605 0.0183144 11.375 11.625 196561
11.75 0.0910303 0.0150721 0.03868 11.625 11.875 111754
12.00 0.174482 0.0197107 0.061694 11.875 12.125 63101
12.25 0.276883 0.0196293 0.0752397 12.125 12.375 34762
12.50 0.347051 0.027469 0.0742087 12.375 12.625 18954
12.75 0.364557 0.0261323 0.0776171 12.625 12.875 9875
13.00 0.322973 0.0329155 0.0859785 12.875 13.125 5019
13.25 0.249895 0.0446168 0.0811241 13.125 13.375 2385
13.50 0.166509 0.0314077 0.0529801 13.375 13.625 1057
13.75 0.150943 0.0192694 0.065837 13.625 13.875 424
14.00 0.111842 0.0328947 0.0328947 13.875 14.125 152
14.25 0.0714286 0.0357143 0 14.125 14.375 28
14.50 0 0 0 14.375 14.625 2
14.75 0 0 0 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
