#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 3.81141e-05 3.81141e-05 3.81141e-05 8.625 8.875 26237
9.00 2.15448e-05 0 2.15448e-05 8.875 9.125 46415
9.25 0 4.618e-06 0 9.125 9.375 216458
9.50 8.88032e-05 0.000159892 1.44492e-05 9.375 9.625 776999
9.75 0.00129038 0.00236729 5.92067e-05 9.625 9.875 2.11333e+06
10.00 0.00218847 0.00443998 0.000249225 9.875 10.125 3.22783e+06
10.25 0.00329499 0.00465334 0.000975316 10.125 10.375 2.37907e+06
10.50 0.00779268 0.0051175 0.00252872 10.375 10.625 1.50295e+06
10.75 0.0217221 0.0102186 0.00614618 10.625 10.875 934392
11.00 0.0519517 0.01816 0.0134978 10.875 11.125 576651
11.25 0.107903 0.0232958 0.0280011 11.125 11.375 343697
11.50 0.206817 0.0283045 0.0492079 11.375 11.625 203586
11.75 0.354145 0.0209105 0.0683572 11.625 11.875 120301
12.00 0.520012 0.0155243 0.0687546 11.875 12.125 70583
12.25 0.664497 0.00636446 0.0563586 12.125 12.375 41171
12.50 0.7326 0.00807834 0.0419315 12.375 12.625 23807
12.75 0.732345 0.0124417 0.0474153 12.625 12.875 13622
13.00 0.66446 0.0376428 0.0681488 12.875 13.125 7704
13.25 0.569962 0.0391183 0.0834238 13.125 13.375 4188
13.50 0.44718 0.0472372 0.0760459 13.375 13.625 2234
13.75 0.349472 0.0478966 0.0684146 13.625 13.875 1136
14.00 0.268714 0.031286 0.0556622 13.875 14.125 521
14.25 0.254237 0.029661 0.0584926 14.125 14.375 236
14.50 0.196721 0.0532787 0 14.375 14.625 61
14.75 0.28 0.04 0 14.625 14.875 25
15.00 0 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
