#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 27961
9.00 0 0 0 8.875 9.125 49371
9.25 4.29725e-06 4.29286e-06 2.49156e-09 9.125 9.375 232707
9.50 6.77667e-05 0.00018682 -3.1694e-06 9.375 9.625 870634
9.75 0.000802889 0.0026439 -6.45035e-05 9.625 9.875 2.42126e+06
10.00 0.00119756 0.00424544 -0.000101273 9.875 10.125 3.47374e+06
10.25 0.00131493 0.00387364 8.9332e-05 10.125 10.375 2.48759e+06
10.50 0.00306955 0.00390839 0.000833984 10.375 10.625 1.55788e+06
10.75 0.00974756 0.00843254 0.00294147 10.625 10.875 963318
11.00 0.0262467 0.0156077 0.00778692 10.875 11.125 590322
11.25 0.0628224 0.02242 0.0183546 11.125 11.375 346660
11.50 0.134297 0.0285572 0.0366731 11.375 11.625 204271
11.75 0.252933 0.0251989 0.0603543 11.625 11.875 119158
12.00 0.405281 0.0179425 0.0704881 11.875 12.125 69463
12.25 0.549392 0.00852937 0.0647455 12.125 12.375 40219
12.50 0.630507 0.0121927 0.0517257 12.375 12.625 22723
12.75 0.634594 0.0200956 0.0558223 12.625 12.875 12846
13.00 0.562535 0.0440684 0.0768484 12.875 13.125 7164
13.25 0.476497 0.0473248 0.0881166 13.125 13.375 3723
13.50 0.351735 0.0558479 0.0728127 13.375 13.625 1902
13.75 0.272919 0.0456465 0.0637893 13.625 13.875 949
14.00 0.236776 0.0288883 0.0519657 13.875 14.125 397
14.25 0.20122 0.0257743 0.0365854 14.125 14.375 164
14.50 0.176471 0.0588235 0.0249554 14.375 14.625 34
14.75 0.1 0.1 0 14.625 14.875 10
15.00 0 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
