#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 44754
9.00 0 0 0 8.875 9.125 80104
9.25 5.33792e-06 -8.97217e-10 2.67e-06 9.125 9.375 374678
9.50 3.19428e-05 0.000183102 8.35702e-07 9.375 9.625 1.47138e+06
9.75 0.000279772 0.00139025 1.33491e-05 9.625 9.875 3.51357e+06
10.00 0.000359777 0.00241028 0 9.875 10.125 3.96635e+06
10.25 0.000171056 0.00157507 -2.05641e-05 10.125 10.375 2.69503e+06
10.50 0.000209794 0.00084219 3.82555e-05 10.375 10.625 1.66353e+06
10.75 0.000880386 0.00192586 0.000638126 10.625 10.875 1.02001e+06
11.00 0.00317132 0.00427514 0.00212334 10.875 11.125 596282
11.25 0.0106369 0.00805849 0.00647512 11.125 11.375 339948
11.50 0.030434 0.0124652 0.0163016 11.375 11.625 194158
11.75 0.0736334 0.013829 0.0350237 11.625 11.875 109597
12.00 0.14921 0.0181829 0.0571276 11.875 12.125 61504
12.25 0.241756 0.0200691 0.0745841 12.125 12.375 33509
12.50 0.302198 0.0269135 0.0738757 12.375 12.625 18104
12.75 0.32624 0.0292279 0.0799067 12.625 12.875 9352
13.00 0.293992 0.0318077 0.0868811 12.875 13.125 4677
13.25 0.211679 0.0379795 0.0748175 13.125 13.375 2192
13.50 0.154762 0.0378788 0.0541126 13.375 13.625 924
13.75 0.136111 0.0194445 0.0583333 13.625 13.875 360
14.00 0.112 0.024 0.024 13.875 14.125 125
14.25 0.1 0.05 0 14.125 14.375 20
14.50 0 0 0 14.375 14.625 2
14.75 0 0 0 14.625 14.875 1
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
