#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 41169
9.00 0 0 0 8.875 9.125 74119
9.25 2.85918e-06 2.85694e-06 1.29921e-09 9.125 9.375 349751
9.50 3.94297e-05 0.000201649 3.7674e-06 9.375 9.625 1.39489e+06
9.75 0.000329878 0.00163248 1.29669e-05 9.625 9.875 3.41035e+06
10.00 0.000440222 0.00267396 0 9.875 10.125 3.93438e+06
10.25 0.000208602 0.00180113 -3.28854e-05 10.125 10.375 2.68454e+06
10.50 0.000267761 0.00100789 4.35025e-05 10.375 10.625 1.65819e+06
10.75 0.00117142 0.00247371 0.000792834 10.625 10.875 1.01757e+06
11.00 0.00406412 0.0053461 0.00257125 10.875 11.125 598408
11.25 0.0130072 0.00875331 0.00738748 11.125 11.375 342348
11.50 0.0366195 0.0120505 0.0177841 11.375 11.625 196016
11.75 0.0864583 0.0146458 0.0380691 11.625 11.875 111256
12.00 0.167929 0.0194382 0.0602136 11.875 12.125 62711
12.25 0.26753 0.0204739 0.0750443 12.125 12.375 34441
12.50 0.335625 0.0276365 0.073865 12.375 12.625 18765
12.75 0.355749 0.0264809 0.078299 12.625 12.875 9785
13.00 0.318163 0.0315026 0.0869718 12.875 13.125 4922
13.25 0.234942 0.0413173 0.0799466 13.125 13.375 2341
13.50 0.169793 0.0365252 0.0542942 13.375 13.625 1013
13.75 0.139759 0.0180079 0.0600489 13.625 13.875 415
14.00 0.105634 0.0352113 0.0211268 13.875 14.125 142
14.25 0.0769231 0.0384615 0 14.125 14.375 26
14.50 0 0 0 14.375 14.625 2
14.75 0 0 0 14.625 14.875 1
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
