#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 31708
9.00 0 0 0 8.875 9.125 57344
9.25 3.62039e-06 1.96678e-10 3.62039e-06 9.125 9.375 276213
9.50 6.61201e-05 0.000205916 6.354e-06 9.375 9.625 1.1343e+06
9.75 0.000523056 0.00224991 2.64238e-05 9.625 9.875 3.03792e+06
10.00 0.000663122 0.00355053 -1.13908e-05 9.875 10.125 3.78965e+06
10.25 0.000424499 0.00246043 -5.57293e-05 10.125 10.375 2.62427e+06
10.50 0.000722965 0.00190202 9.60121e-05 10.375 10.625 1.62802e+06
10.75 0.00278779 0.00405464 0.0013817 10.625 10.875 1.00223e+06
11.00 0.00902792 0.00785896 0.0044204 10.875 11.125 600803
11.25 0.0251687 0.0135529 0.0109456 11.125 11.375 348091
11.50 0.0637969 0.0201406 0.0243768 11.375 11.625 201060
11.75 0.138191 0.0203799 0.0468044 11.625 11.875 115992
12.00 0.249856 0.0176236 0.0652533 11.875 12.125 66146
12.25 0.373099 0.0163691 0.0727513 12.125 12.375 37277
12.50 0.449648 0.0206424 0.0674637 12.375 12.625 20714
12.75 0.465393 0.0253615 0.0723982 12.625 12.875 11197
13.00 0.416209 0.0413747 0.0837875 12.875 13.125 5824
13.25 0.319726 0.0521838 0.0849757 13.125 13.375 2915
13.50 0.227571 0.0373488 0.0648318 13.375 13.625 1371
13.75 0.214052 0.0257519 0.0653595 13.625 13.875 612
14.00 0.145299 0.017094 0.042735 13.875 14.125 234
14.25 0.181818 0.0454545 0.030303 14.125 14.375 66
14.50 0.181818 0 0 14.375 14.625 11
14.75 0 0 0 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
