#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 3.22134e-05 0 8.625 8.875 31043
9.00 0 0 0 8.875 9.125 51873
9.25 1.32156e-05 1.32054e-05 4.40897e-06 9.125 9.375 227004
9.50 0.000162431 0.000115407 8.02512e-05 9.375 9.625 751090
9.75 0.00237745 0.00178519 0.000683854 9.625 9.875 1.96302e+06
10.00 0.00427129 0.00340692 0.00136058 9.875 10.125 3.01385e+06
10.25 0.00720583 0.00386547 0.00312164 10.125 10.375 2.28787e+06
10.50 0.0157886 0.00456409 0.00636299 10.375 10.625 1.45902e+06
10.75 0.0389743 0.00738359 0.0123243 10.625 10.875 909317
11.00 0.0835738 0.0148205 0.0226874 10.875 11.125 563131
11.25 0.15763 0.0181681 0.0374901 11.125 11.375 338304
11.50 0.278747 0.0202973 0.0573995 11.375 11.625 201559
11.75 0.439155 0.0144415 0.0725312 11.625 11.875 120083
12.00 0.607586 0.0124922 0.0680837 11.875 12.125 70660
12.25 0.739345 0.00538188 0.0486969 12.125 12.375 41461
12.50 0.802309 0.00132883 0.0359865 12.375 12.625 24250
12.75 0.798871 0.00634009 0.040381 12.625 12.875 14175
13.00 0.736763 0.0196425 0.0579463 12.875 13.125 7970
13.25 0.645945 0.0261681 0.0765434 13.125 13.375 4488
13.50 0.521865 0.0313885 0.0736031 13.375 13.625 2424
13.75 0.410585 0.0371638 0.0761672 13.625 13.875 1247
14.00 0.331699 0.0196964 0.0800546 13.875 14.125 612
14.25 0.264605 0.0274914 0.0515464 14.125 14.375 291
14.50 0.306931 0.0430693 0.029703 14.375 14.625 101
14.75 0.230769 0.025641 0.025641 14.625 14.875 39
15.00 0.333333 0 0 14.875 15.125 3
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
