#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 36075
9.00 0 0 0 8.875 9.125 65366
9.25 3.19168e-06 3.19001e-06 1.5782e-09 9.125 9.375 313315
9.50 5.40204e-05 0.000201482 6.30508e-06 9.375 9.625 1.2773e+06
9.75 0.000411548 0.00190654 9.66064e-06 9.625 9.875 3.25114e+06
10.00 0.000528705 0.0029966 -1.33028e-05 9.875 10.125 3.8774e+06
10.25 0.000292754 0.00208886 -4.46472e-05 10.125 10.375 2.66094e+06
10.50 0.00040867 0.00131543 4.39855e-05 10.375 10.625 1.6468e+06
10.75 0.00175385 0.00296444 0.00108284 10.625 10.875 1.01206e+06
11.00 0.00585492 0.00624669 0.00331329 10.875 11.125 600008
11.25 0.0176861 0.0104377 0.00899043 11.125 11.375 345582
11.50 0.0470304 0.0147151 0.0213896 11.375 11.625 198680
11.75 0.107699 0.0176711 0.0418883 11.625 11.875 113381
12.00 0.202802 0.0181127 0.0633156 11.875 12.125 64388
12.25 0.310183 0.0179248 0.0726497 12.125 12.375 35795
12.50 0.382581 0.0285382 0.071797 12.375 12.625 19703
12.75 0.405413 0.0242548 0.0768923 12.625 12.875 10345
13.00 0.358903 0.0397975 0.0869761 12.875 13.125 5358
13.25 0.274894 0.0460127 0.083266 13.125 13.375 2601
13.50 0.19797 0.033062 0.0615289 13.375 13.625 1182
13.75 0.170833 0.0228509 0.0580985 13.625 13.875 480
14.00 0.162011 0.0233821 0.0446927 13.875 14.125 179
14.25 0.097561 0.0487805 0 14.125 14.375 41
14.50 0 0 0 14.375 14.625 7
14.75 0 0 0 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
