#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 29559
9.00 0 0 0 8.875 9.125 53104
9.25 7.92814e-06 -1.56433e-10 3.96616e-06 9.125 9.375 252266
9.50 7.51172e-05 0.000216522 3.35487e-07 9.375 9.625 1.01175e+06
9.75 0.000602052 0.00255427 7.3018e-06 9.625 9.875 2.80541e+06
10.00 0.000813513 0.00397141 -3.83333e-05 9.875 10.125 3.68279e+06
10.25 0.000618387 0.00288503 -5.41867e-05 10.125 10.375 2.57929e+06
10.50 0.00126081 0.0026352 0.000270041 10.375 10.625 1.60453e+06
10.75 0.00443387 0.00608977 0.00169398 10.625 10.875 989655
11.00 0.0136164 0.01151 0.0053777 10.875 11.125 598690
11.25 0.0359163 0.0179999 0.0131385 11.125 11.375 348588
11.50 0.0850755 0.0232759 0.0279854 11.375 11.625 202961
11.75 0.176495 0.0232289 0.0507338 11.625 11.875 117686
12.00 0.302544 0.0150527 0.0662355 11.875 12.125 67729
12.25 0.435812 0.0149774 0.0716747 12.125 12.375 38590
12.50 0.518105 0.0183381 0.061284 12.375 12.625 21652
12.75 0.523043 0.0286608 0.067391 12.625 12.875 11869
13.00 0.469714 0.0416843 0.0826525 12.875 13.125 6323
13.25 0.386433 0.048309 0.0871387 13.125 13.375 3258
13.50 0.265436 0.0471434 0.0692699 13.375 13.625 1571
13.75 0.230126 0.0331057 0.0580975 13.625 13.875 717
14.00 0.168421 0.0280702 0.0421053 13.875 14.125 285
14.25 0.173077 0.0288461 0.0384615 14.125 14.375 104
14.50 0.176471 0 0 14.375 14.625 17
14.75 0 0 0 14.625 14.875 4
15.00 0 0 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
