#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 26320
9.00 0 0 0 8.875 9.125 47315
9.25 0 4.478e-06 0 9.125 9.375 223187
9.50 6.60622e-05 0.000188193 -9.40743e-06 9.375 9.625 817411
9.75 0.000998551 0.00252997 -1.46891e-05 9.625 9.875 2.24625e+06
10.00 0.001599 0.0043838 0 9.875 10.125 3.35773e+06
10.25 0.00211896 0.00442294 0.000355984 10.125 10.375 2.43468e+06
10.50 0.00499899 0.004683 0.00143535 10.375 10.625 1.53071e+06
10.75 0.0151026 0.0101074 0.00437832 10.625 10.875 949901
11.00 0.0380167 0.0172987 0.00992301 10.875 11.125 584111
11.25 0.0845124 0.0239281 0.0230174 11.125 11.375 345961
11.50 0.169787 0.0284193 0.0411512 11.375 11.625 204215
11.75 0.304858 0.0231682 0.065857 11.625 11.875 119974
12.00 0.464486 0.016799 0.0709179 11.875 12.125 70239
12.25 0.613464 0.00671071 0.0609206 12.125 12.375 40775
12.50 0.685021 0.0103285 0.0469679 12.375 12.625 23300
12.75 0.685328 0.0187325 0.0488968 12.625 12.875 13379
13.00 0.618309 0.0369552 0.0757932 12.875 13.125 7417
13.25 0.527695 0.0446852 0.0855365 13.125 13.375 4008
13.50 0.398554 0.0494074 0.0747678 13.375 13.625 2075
13.75 0.311005 0.0488038 0.0655416 13.625 13.875 1045
14.00 0.264957 0.0262633 0.0563551 13.875 14.125 468
14.25 0.219512 0.0317193 0.0381396 14.125 14.375 205
14.50 0.191489 0.0425532 0.0212766 14.375 14.625 47
14.75 0.125 0.0625 0 14.625 14.875 16
15.00 0 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
